#lambda	flux
853.5	1.70422
854	1.70287
854.5	1.70152
855	1.70018
855.5	1.69884
856	1.69749
856.5	1.69615
857	1.69482
857.5	1.69348
858	1.69215
858.5	1.69081
859	1.68948
859.5	1.68815
860	1.68683
860.5	1.6855
861	1.68418
861.5	1.68286
862	1.68154
862.5	1.68022
863	1.6789
863.5	1.67759
864	1.67627
864.5	1.67496
865	1.67365
865.5	1.67235
866	1.67104
866.5	1.66974
867	1.66844
867.5	1.66714
868	1.66584
868.5	1.66454
869	1.66325
869.5	1.66195
870	1.66066
870.5	1.65937
871	1.65808
871.5	1.6568
872	1.65551
872.5	1.65423
873	1.65295
873.5	1.65167
874	1.65039
874.5	1.64912
875	1.64784
875.5	1.64657
876	1.6453
876.5	1.64403
877	1.64276
877.5	1.6415
878	1.64023
878.5	1.63897
879	1.63771
879.5	1.63645
880	1.63519
880.5	1.63394
881	1.63269
881.5	1.63143
882	1.63018
882.5	1.62893
883	1.62769
883.5	1.62644
884	1.6252
884.5	1.62396
885	1.62271
885.5	1.62148
886	1.62024
886.5	1.619
887	1.61777
887.5	1.61654
888	1.61531
888.5	1.61408
889	1.61285
889.5	1.61162
890	1.6104
890.5	1.60918
891	1.60796
891.5	1.60674
892	1.60552
892.5	1.6043
893	1.60309
893.5	1.60188
894	1.60066
894.5	1.59945
895	1.59825
895.5	1.59704
896	1.59583
896.5	1.59463
897	1.59343
897.5	1.59223
898	1.59103
898.5	1.58983
899	1.58864
899.5	1.58744
900	1.58625
900.5	1.58506
901	1.58387
901.5	1.58268
902	1.5815
902.5	1.58031
903	1.57913
903.5	1.57795
904	1.57677
904.5	1.57559
905	1.57441
905.5	1.57324
906	1.57206
906.5	1.57089
907	1.56972
907.5	1.56855
908	1.56738
908.5	1.56622
909	1.56505
909.5	1.56389
910	1.56273
910.5	1.56157
911	1.56041
911.5	1.55925
912	1.55809
912.5	1.55694
913	1.55579
913.5	1.55463
914	1.55348
914.5	1.55234
915	1.55119
915.5	1.55004
916	1.5489
916.5	1.54776
917	1.54662
917.5	1.54548
918	1.54434
918.5	1.5432
919	1.54207
919.5	1.54093
920	1.5398
920.5	1.53867
921	1.53754
921.5	1.53641
922	1.53529
922.5	1.53416
923	1.53304
923.5	1.53191
924	1.53079
924.5	1.52967
925	1.52856
925.5	1.52744
926	1.52632
926.5	1.52521
927	1.5241
927.5	1.52299
928	1.52188
928.5	1.52077
929	1.51966
929.5	1.51856
930	1.51745
930.5	1.51635
931	1.51525
931.5	1.51415
932	1.51305
932.5	1.51196
933	1.51086
933.5	1.50977
934	1.50867
934.5	1.50758
935	1.50649
935.5	1.5054
936	1.50432
936.5	1.50323
937	1.50215
937.5	1.50106
938	1.49998
938.5	1.4989
939	1.49782
939.5	1.49674
940	1.49567
940.5	1.49459
941	1.49352
941.5	1.49244
942	1.49137
942.5	1.4903
943	1.48924
943.5	1.48817
944	1.4871
944.5	1.48604
945	1.48498
945.5	1.48391
946	1.48285
946.5	1.48179
947	1.48074
947.5	1.47968
948	1.47862
948.5	1.47757
949	1.47652
949.5	1.47547
950	1.47442
950.5	1.47337
951	1.47232
951.5	1.47127
952	1.47023
952.5	1.46919
953	1.46814
953.5	1.4671
954	1.46606
954.5	1.46502
955	1.46399
955.5	1.46295
956	1.46192
956.5	1.46088
957	1.45985
957.5	1.45882
958	1.45779
958.5	1.45676
959	1.45574
959.5	1.45471
960	1.45369
960.5	1.45266
961	1.45164
961.5	1.45062
962	1.4496
962.5	1.44858
963	1.44757
963.5	1.44655
964	1.44554
964.5	1.44452
965	1.44351
965.5	1.4425
966	1.44149
966.5	1.44048
967	1.43948
967.5	1.43847
968	1.43746
968.5	1.43646
969	1.43546
969.5	1.43446
970	1.43346
970.5	1.43246
971	1.43146
971.5	1.43047
972	1.42947
972.5	1.42848
973	1.42749
973.5	1.42649
974	1.4255
