# lambda	flux
 2481.24 26.3158
 2481.84 26.5049
 2482.44 26.8422
 2483.04 18.1725
 2483.65 7.75075
 2484.24 5.28218
 2484.84 7.85543
 2485.44 18.4029
 2486.04 26.7829
 2486.65 20.0202
 2487.24 15.9109
 2487.84 7.82027
 2488.44 10.0964
 2489.04 6.34278
 2489.65 14.2073
 2490.24 11.3441
 2490.84 10.6266
 2491.44 5.03151
 2492.04 8.25169
 2492.65 22.3858
 2493.24 31.5401
 2493.84 59.7014
 2494.44 59.9773
 2495.04 14.2946
 2495.65 91.5216
 2496.24 66.9598
 2496.84 59.61
 2497.44 62.5042
 2498.04 86.5518
 2498.65 27.7486
 2499.24 147.039
 2499.84 146.148
 2500.44 79.2818
 2501.04 19.8791
 2501.65 11.4099
 2502.24 23.7251
 2502.84 83.8137
 2503.44 150.601
 2504.04 107.447
 2504.65 135.548
 2505.24 59.7633
 2505.84 78.2641
 2506.44 90.7086
 2507.04 24.9622
 2507.65 22.0413
 2508.24 91.7082
 2508.84 70.4756
 2509.44 114.894
 2510.04 118.557
 2510.65 40.4217
 2511.24 16.9508
 2511.84 16.3027
 2512.44 45.4781
 2513.04 34.0817
 2513.65 99.3207
 2514.24 46.3939
 2514.84 51.2154
 2515.44 81.4982
 2516.04 87.55
 2516.65 36.6882
 2517.24 34.8799
 2517.84 22.695
 2518.44 14.2032
 2519.04 17.4851
 2519.65 36.4302
 2520.24 36.4745
 2520.84 75.4416
 2521.44 37.1871
 2522.04 16.9658
 2522.65 17.9616
 2523.24 10.1306
 2523.84 10.4843
 2524.44 21.1164
 2525.04 12.431
 2525.65 34.5214
 2526.24 61.024
 2526.84 46.4894
 2527.44 37.8643
 2528.04 12.1034
 2528.65 17.2743
 2529.24 21.9853
 2529.84 10.2861
 2530.44 13.5152
 2531.04 24.6653
 2531.65 58.2895
 2532.24 102.23
 2532.84 89.4581
 2533.44 124.587
 2534.04 179.554
 2534.65 164.032
 2535.24 137.949
 2535.84 56.149
 2536.44 12.4009
 2537.04 19.1843
 2537.65 45.361
 2538.24 117.301
 2538.84 211.59
 2539.44 73.5107
 2540.04 61.6984
 2540.65 81.9841
 2541.24 41.2968
 2541.84 19.991
 2542.44 79.0126
 2543.04 55.1333
 2543.65 116.989
 2544.24 81.4018
 2544.84 45.8344
 2545.44 65.6149
 2546.04 85.6681
 2546.65 16.1607
 2547.24 62.0789
 2547.84 124.869
 2548.44 100.711
 2549.04 84.9768
 2549.65 77.5035
 2550.24 23.4146
 2550.84 97.242
 2551.44 223.425
 2552.04 186.422
 2552.65 243.396
 2553.24 66.0654
 2553.84 23.688
 2554.44 116.493
 2555.04 770.738
 2555.65 106.294
 2556.24 354.559
 2556.84 276.707
 2557.44 188.251
 2558.04 135.143
 2558.65 113.346
 2559.24 256.265
 2559.84 674.665
 2560.44 287.88
 2561.04 256.308
 2561.65 96.2428
 2562.24 599.153
 2562.84 58.9305
 2563.44 221.218
 2564.04 128.797
 2564.65 398.935
 2565.24 581.431
 2565.84 491.573
 2566.44 217.034
 2567.04 629.328
 2567.65 567.367
 2568.24 212.057
 2568.84 85.9906
 2569.44 96.3059
 2570.04 258.594
