# lambda	flux
 2321.65 0.000780581044125
 2322.24 0.000531275277291
 2322.84 0.000949086622106
 2323.44 0.00161387943011
 2324.04 0.000676320827163
 2324.65 0.00109448587222
 2325.24 0.000692143495915
 2325.84 0.00118605282874
 2326.44 0.000201267690866
 2327.04 0.00138985823199
 2327.65 0.00140764064812
 2328.24 0.000650407381729
 2328.84 0.0017946066539
 2329.44 0.000931155396989
 2330.04 0.00117543890352
 2330.65 0.000323635360886
 2331.24 0.00168068865664
 2331.84 0.000886268634459
 2332.44 0.00112635330757
 2333.04 0.00172056019597
 2333.65 0.0003780503824
 2334.24 0.00143460142045
 2334.84 0.000909014096245
 2335.44 0.00152117915673
 2336.04 0.00107518747529
 2336.65 0.00135414407583
 2337.24 0.000694971596066
 2337.84 0.00136518185778
 2338.44 0.000170133047516
 2339.04 0.0011287922645
 2339.65 0.0018490630184
 2340.24 0.000973188356778
 2340.84 0.000908811479168
 2341.44 0.000870229188605
 2342.04 0.00133224074931
 2342.65 0.00166506920569
 2343.24 0.000955429969777
 2343.84 0.00124425979753
 2344.44 0.000723436077174
 2345.04 0.000620802117563
 2345.65 0.00111526549353
 2346.24 0.000276490289005
 2346.84 0.000609523486468
 2347.44 0.000730763246178
 2348.04 0.000542724171952
 2348.65 9.61834463008e-05
 2349.24 0.00051321583959
 2349.84 0.00128461861333
 2350.44 0.00173951454722
 2351.04 0.000541581243435
 2351.65 0.000862824354012
 2352.24 0.000880410589443
 2352.84 0.00186147252053
 2353.44 0.000581782797155
 2354.04 0.00109710324547
 2354.65 0.00164757479588
 2355.24 0.000756336593571
 2355.84 0.000214205876824
 2356.44 0.000612003121292
 2357.04 0.000885505537869
 2357.65 0.00152358378633
 2358.24 0.00180242693503
 2358.84 0.00088627060828
 2359.44 0.000516884873556
 2360.04 0.00141831876545
 2360.65 0.00133572325714
 2361.24 0.000299670763906
 2361.84 0.00131389862603
 2362.44 0.000746623331722
 2363.04 0.00107855155382
 2363.65 0.00258926327722
 2364.24 0.00174800043531
 2364.84 0.00162074249358
 2365.44 0.00101775879294
 2366.04 0.00184111795742
 2366.65 0.000656988446174
 2367.24 0.000737012451141
 2367.84 0.000383695769594
 2368.44 0.00169062813561
 2369.04 0.00142065474039
 2369.65 0.00120168952917
 2370.24 0.00107289097679
 2370.84 0.000712775981692
 2371.44 0.00220294519983
 2372.04 0.00147247845598
 2372.65 0.00044796031101
 2373.24 0.00118408475698
 2373.84 0.000357204273345
 2374.44 0.0005150399511
 2375.04 0.00167945510397
 2375.65 0.00145091745878
 2376.24 0.00172831456862
 2376.84 0.00128162132235
 2377.44 0.00239712427519
 2378.04 0.00187782863602
 2378.65 0.000784376359763
 2379.24 0.000730231429988
 2379.84 0.00164286199647
 2380.44 0.000865681675305
 2381.04 0.00119017339585
 2381.65 0.000985360313777
 2382.24 0.0018123978235
 2382.84 0.000467357055746
 2383.44 0.00111903635094
 2384.04 0.000542036338038
 2384.65 0.00074282921754
 2385.24 0.000847050258435
 2385.84 0.000732260690216
 2386.44 0.00184862139727
 2387.04 0.00101729022486
 2387.65 0.00196992612146
 2388.24 0.000987610985296
 2388.84 0.00172852911445
 2389.44 0.000732616836285
 2390.04 0.000937698014822
 2390.65 0.00102317247065
 2391.24 0.00200673755078
 2391.84 0.000878411193994
 2392.44 0.00139450220509
 2393.04 0.00215289217384
 2393.65 0.000929685672272
 2394.24 0.00119640758261
 2394.84 0.00186812790365
 2395.44 0.00251296185685
 2396.04 0.000552768735463
 2396.65 0.00117940542673
 2397.24 0.000721760302646
 2397.84 0.000854081182565
 2398.44 0.00210262151257
 2399.04 0.0018991357826
 2399.65 0.00171854518159
 2400.24 0.00147922961235
 2400.84 0.0015325260563
 2401.44 0.000838897774552
 2402.04 0.00104681035725
 2402.65 0.000562682082748
 2403.24 0.000972366131359
 2403.84 0.00303593429655
 2404.44 0.0026996235898
 2405.04 0.000686437864253
 2405.65 0.000774835077848
 2406.24 0.00115252334981
 2406.84 0.00217689985162
 2407.44 0.00051142300886
 2408.04 0.000299205371103
 2408.65 0.00159072015233
 2409.24 0.00199701725183
 2409.84 0.00203481095776
 2410.44 0.00301941564114
 2411.04 0.00193119957028
 2411.65 0.00152888735911
 2412.24 0.000359858183742
 2412.84 0.00126491352334
 2413.44 0.000889514369513
 2414.04 0.00109404691147
 2414.65 0.00154158555411
 2415.24 0.000771000114141
 2415.84 0.00156324678712
 2416.44 0.00249796046952
 2417.04 0.00184130092209
 2417.65 0.00137131031635
 2418.24 0.00129092806277
 2418.84 0.00252928948066
 2419.44 0.000996410625205
 2420.04 0.000437747200299
 2420.65 0.000896183998474
 2421.24 0.00104146919603
 2421.84 0.000686654426808
 2422.44 0.00192473950968
 2423.04 0.00362542349391
 2423.65 0.00310493497995
 2424.24 0.00103542621251
 2424.84 0.000695937138096
 2425.44 0.00171032035285
 2426.04 0.00273068519102
 2426.65 0.00284404725714
 2427.24 0.00118768105991
 2427.84 0.00232494917176
 2428.44 0.0013989003945
 2429.04 0.000492075995846
 2429.65 0.00233087046489
 2430.24 0.00228408008017
 2430.84 0.000653228873869
 2431.44 0.00278267719635
 2432.04 0.00297679928835
 2432.65 0.00172226489128
 2433.24 0.00139262887677
 2433.84 0.00102559915556
 2434.44 0.00226172921106
 2435.04 0.00148576879745
 2435.65 0.00102729921668
 2436.24 0.00137498454233
 2436.84 0.00274244865277
 2437.44 0.00176816808611
 2438.04 0.00268549308687
 2438.65 0.00264786998778
 2439.24 0.0011953321073
 2439.84 0.000485962040571
 2440.44 0.00109501296841
 2441.04 0.00183466150119
 2441.65 0.00112426835124
 2442.24 0.00134371285783
 2442.84 0.00284462927705
 2443.44 0.00092311318966
 2444.04 0.00112602410845
 2444.65 0.000869573536565
 2445.24 0.00237386218706
 2445.84 0.000541529709528
 2446.44 0.00133200260345
 2447.04 0.00321548649577
 2447.65 0.00353803022605
 2448.24 0.0016351496748
 2448.84 0.00162839834679
 2449.44 0.00334385664305
 2450.04 0.00294288251129
 2450.65 0.00147009528096
