# lk ukf_m0iii uks_m0iii fh fk fm
# iRMS=0.01722689532 0
# 
5056.41 0.794652 0.042875 0.749307 0.000000 0.921747
5061.41 0.925181 0.046506 0.756828 0.000000 1.188710
5066.41 0.771405 0.032613 0.717848 0.000000 0.904320
5071.41 0.681253 0.005300 0.693317 0.000000 0.739272
5076.41 0.732464 0.014567 0.678358 0.000000 0.861920
5081.42 0.707032 0.015078 0.664696 0.000000 0.822103
5086.42 0.664522 0.016365 0.689202 0.000000 0.708204
5091.42 0.662193 0.033191 0.715900 0.000000 0.676609
5096.42 0.657349 0.024897 0.704047 0.000000 0.678275
5101.42 0.658579 0.012497 0.686786 0.000000 0.698123
5106.42 0.681557 0.003003 0.669380 0.000000 0.763848
5111.42 0.759618 0.005557 0.670712 0.000000 0.926669
5116.43 0.832489 0.030274 0.705895 0.000000 1.044724
5121.43 0.752009 0.036975 0.702229 0.000000 0.879151
5126.43 0.666486 0.020926 0.670459 0.000000 0.731076
5131.43 0.706777 0.023799 0.671929 0.000000 0.814335
5136.43 0.739514 0.023528 0.698033 0.000000 0.857071
5141.43 0.692770 0.021295 0.711152 0.000000 0.745656
5146.43 0.602444 0.000527 0.680631 0.000000 0.586234
5151.43 0.573538 0.009531 0.663427 0.000000 0.542650
5156.44 0.656376 0.036613 0.710183 0.000000 0.670093
5161.44 0.728531 0.057924 0.717947 0.000000 0.814062
5166.44 0.676725 0.050890 0.591483 0.000000 0.831585
5171.44 0.553778 0.072755 0.486621 0.000000 0.677904
5176.44 0.489116 0.043978 0.489599 0.000000 0.538949
5181.44 0.498597 0.021823 0.523043 0.000000 0.525444
5186.44 0.567931 0.006554 0.575417 0.000000 0.618870
5191.45 0.646230 0.007443 0.620150 0.000000 0.738791
5196.45 0.684752 0.022656 0.664755 0.000000 0.775193
5201.45 0.608071 0.032945 0.659596 0.000000 0.619101
5206.45 0.502498 0.054754 0.584442 0.000000 0.472249
5211.45 0.605829 0.059228 0.595879 0.000000 0.678103
5216.45 0.795369 0.055304 0.705067 0.000000 0.967493
5221.45 0.864752 0.042969 0.777991 0.000000 1.040473
5226.45 0.801638 0.030605 0.764440 0.000000 0.921303
