# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
4151.17 0.446532 0.077563 0.384265 0.000000 0.000000 0.723862
4156.17 0.542181 0.087158 0.414537 0.000000 0.000000 0.930956
4161.17 0.573995 0.103646 0.439203 0.000000 0.000000 0.985239
4166.17 0.455804 0.096958 0.418239 0.000000 0.000000 0.712897
4171.18 0.338307 0.070691 0.376598 0.000000 0.000000 0.462953
4176.18 0.353305 0.049186 0.363823 0.000000 0.000000 0.512950
4181.18 0.445826 0.064492 0.389377 0.000000 0.000000 0.716999
4186.18 0.518551 0.070349 0.404353 0.000000 0.000000 0.882499
4191.18 0.509989 0.069581 0.403715 0.000000 0.000000 0.861888
4196.18 0.444505 0.065515 0.386457 0.000000 0.000000 0.716640
4201.18 0.383883 0.050633 0.365597 0.000000 0.000000 0.587059
4206.18 0.403350 0.059056 0.380387 0.000000 0.000000 0.620578
4211.19 0.415360 0.061384 0.383733 0.000000 0.000000 0.647037
4216.19 0.316832 0.042667 0.339976 0.000000 0.000000 0.446284
4221.19 0.197726 0.039157 0.284409 0.000000 0.000000 0.206275
4226.19 0.129822 0.030949 0.229467 0.000000 0.000000 0.092704
4231.19 0.161042 0.029908 0.245100 0.000000 0.000000 0.154546
4236.19 0.265818 0.023339 0.319481 0.000000 0.000000 0.340180
4241.19 0.379064 0.048501 0.391643 0.000000 0.000000 0.549053
4246.20 0.430652 0.067195 0.409325 0.000000 0.000000 0.659394
4251.20 0.402639 0.053960 0.380645 0.000000 0.000000 0.618556
4256.20 0.349485 0.028913 0.367439 0.000000 0.000000 0.499854
4261.20 0.399753 0.040263 0.387763 0.000000 0.000000 0.604275
4266.20 0.477185 0.054944 0.396014 0.000000 0.000000 0.788182
4271.20 0.386230 0.034189 0.366879 0.000000 0.000000 0.591602
4276.20 0.333961 0.022584 0.359605 0.000000 0.000000 0.469162
4281.20 0.435760 0.047636 0.382647 0.000000 0.000000 0.698748
4286.21 0.461497 0.037262 0.368335 0.000000 0.000000 0.776930
4291.21 0.420369 0.022475 0.350066 0.000000 0.000000 0.693134
4296.21 0.417009 0.031851 0.360840 0.000000 0.000000 0.674021
4301.21 0.409481 0.022610 0.359516 0.000000 0.000000 0.656663
4306.21 0.426564 0.026178 0.366689 0.000000 0.000000 0.691885
4311.21 0.521818 0.025290 0.386567 0.000000 0.000000 0.908392
4316.21 0.550835 0.039173 0.419816 0.000000 0.000000 0.947151
4321.21 0.421253 0.040549 0.441207 0.000000 0.000000 0.604187
4326.22 0.426975 0.046016 0.464807 0.000000 0.000000 0.594787
4331.22 0.593963 0.049869 0.506979 0.000000 0.000000 0.967016
4336.22 0.640603 0.038971 0.507803 0.000000 0.000000 1.081937
4341.22 0.637908 0.013782 0.473650 0.000000 0.000000 1.109402
4346.22 0.685404 0.032286 0.477277 0.000000 0.000000 1.223643
4351.22 0.663228 0.039591 0.476772 0.000000 0.000000 1.169114
4356.22 0.645769 0.043349 0.473585 0.000000 0.000000 1.128975
4361.23 0.739470 0.044519 0.487261 0.000000 0.000000 1.347830
4366.23 0.776874 0.043238 0.502949 0.000000 0.000000 1.424965
4371.23 0.712035 0.035639 0.500246 0.000000 0.000000 1.266762
4376.23 0.654273 0.036115 0.488168 0.000000 0.000000 1.135496
4381.23 0.557865 0.034724 0.471734 0.000000 0.000000 0.912679
