# lk ukf_k3iii uks_k3iii fh fse fl fd fc
# iRMS=0.0007893881411 0
# 
3501.00 0.101833 0.000000 0.101833 0.000000 0.000000 0.000000 0.000000
3506.00 0.105694 0.000000 0.105694 0.000000 0.000000 0.000000 0.000000
3511.00 0.104911 0.000000 0.104911 0.000000 0.000000 0.000000 0.000000
3516.01 0.099901 0.000000 0.099901 0.000000 0.000000 0.000000 0.000000
3521.01 0.096595 0.000000 0.096595 0.000000 0.000000 0.000000 0.000000
3526.01 0.099888 0.000000 0.099888 0.000000 0.000000 0.000000 0.000000
3531.01 0.105017 0.000000 0.105017 0.000000 0.000000 0.000000 0.000000
3536.01 0.106628 0.000000 0.106628 0.000000 0.000000 0.000000 0.000000
3541.01 0.106665 0.000000 0.106665 0.000000 0.000000 0.000000 0.000000
3546.01 0.107517 0.000000 0.107517 0.000000 0.000000 0.000000 0.000000
3551.01 0.106042 0.000000 0.106042 0.000000 0.000000 0.000000 0.000000
3556.02 0.099587 0.000000 0.099587 0.000000 0.000000 0.000000 0.000000
3561.02 0.092982 0.000000 0.092982 0.000000 0.000000 0.000000 0.000000
3566.02 0.090752 0.000000 0.090752 0.000000 0.000000 0.000000 0.000000
3571.02 0.088720 0.000000 0.088720 0.000000 0.000000 0.000000 0.000000
3576.02 0.082920 0.000000 0.082920 0.000000 0.000000 0.000000 0.000000
3581.02 0.078935 0.000000 0.078935 0.000000 0.000000 0.000000 0.000000
3586.02 0.082552 0.000000 0.082552 0.000000 0.000000 0.000000 0.000000
3591.02 0.090822 0.000000 0.090822 0.000000 0.000000 0.000000 0.000000
3596.03 0.099256 0.000000 0.099256 0.000000 0.000000 0.000000 0.000000
3601.03 0.105961 0.000000 0.105961 0.000000 0.000000 0.000000 0.000000
3606.03 0.110199 0.000000 0.110199 0.000000 0.000000 0.000000 0.000000
3611.03 0.113255 0.000000 0.113255 0.000000 0.000000 0.000000 0.000000
3616.03 0.116824 0.000000 0.116824 0.000000 0.000000 0.000000 0.000000
3621.03 0.122207 0.000000 0.122207 0.000000 0.000000 0.000000 0.000000
3626.03 0.129561 0.000000 0.129561 0.000000 0.000000 0.000000 0.000000
3631.03 0.134856 0.000000 0.134856 0.000000 0.000000 0.000000 0.000000
3636.04 0.135126 0.000000 0.135126 0.000000 0.000000 0.000000 0.000000
3641.04 0.135838 0.000000 0.135838 0.000000 0.000000 0.000000 0.000000
3646.04 0.142461 0.000000 0.142461 0.000000 0.000000 0.000000 0.000000
3651.04 0.152026 0.000000 0.152026 0.000000 0.000000 0.000000 0.000000
3656.04 0.160376 0.000000 0.160376 0.000000 0.000000 0.000000 0.000000
3661.04 0.167030 0.000000 0.167030 0.000000 0.000000 0.000000 0.000000
