# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
4416.24 0.326176 0.000000 0.326176 0.000000 0.000000
4421.24 0.330084 0.000000 0.330084 0.000000 0.000000
4426.24 0.344284 0.000000 0.344284 0.000000 0.000000
4431.24 0.363633 0.000000 0.363633 0.000000 0.000000
4436.25 0.382067 0.000000 0.382067 0.000000 0.000000
4441.25 0.396540 0.000000 0.396540 0.000000 0.000000
4446.25 0.406807 0.000000 0.406807 0.000000 0.000000
4451.25 0.414400 0.000000 0.414400 0.000000 0.000000
4456.25 0.422518 0.000000 0.422518 0.000000 0.000000
4461.25 0.434474 0.000000 0.434474 0.000000 0.000000
4466.25 0.450748 0.000000 0.450748 0.000000 0.000000
4471.25 0.467676 0.000000 0.467676 0.000000 0.000000
4476.26 0.479210 0.000000 0.479210 0.000000 0.000000
4481.26 0.483741 0.000000 0.483741 0.000000 0.000000
4486.26 0.489125 0.000000 0.489125 0.000000 0.000000
4491.26 0.509416 0.000000 0.509416 0.000000 0.000000
4496.26 0.552983 0.000000 0.552983 0.000000 0.000000
4501.26 0.609740 0.000000 0.609740 0.000000 0.000000
4506.26 0.652222 0.000000 0.652222 0.000000 0.000000
4511.27 0.653852 0.000000 0.653852 0.000000 0.000000
4516.27 0.610240 0.000000 0.610240 0.000000 0.000000
4521.27 0.546589 0.000000 0.546589 0.000000 0.000000
4526.27 0.503434 0.000000 0.503434 0.000000 0.000000
4531.27 0.507437 0.000000 0.507437 0.000000 0.000000
4536.27 0.551083 0.000000 0.551083 0.000000 0.000000
4541.27 0.601141 0.000000 0.601141 0.000000 0.000000
4546.27 0.625123 0.000000 0.625123 0.000000 0.000000
4551.28 0.614784 0.000000 0.614784 0.000000 0.000000
4556.28 0.589962 0.000000 0.589962 0.000000 0.000000
4561.28 0.579018 0.000000 0.579018 0.000000 0.000000
4566.28 0.594085 0.000000 0.594085 0.000000 0.000000
4571.28 0.624488 0.000000 0.624488 0.000000 0.000000
4576.28 0.649801 0.000000 0.649801 0.000000 0.000000
4581.28 0.657301 0.000000 0.657301 0.000000 0.000000
4586.28 0.649888 0.000000 0.649888 0.000000 0.000000
4591.29 0.639628 0.000000 0.639628 0.000000 0.000000
4596.29 0.634117 0.000000 0.634117 0.000000 0.000000
4601.29 0.632958 0.000000 0.632958 0.000000 0.000000
