# lk ukf_g8i uks_g8i fh fse fl fk
# iRMS=0.0002441611141 0
# 
4721.32 0.859500 0.038960 0.859500 0.000000 0.000000 0.000000
4726.32 0.822416 0.011728 0.822416 0.000000 0.000000 0.000000
4731.32 0.772209 0.023361 0.772209 0.000000 0.000000 0.000000
4736.32 0.808871 0.015412 0.808871 0.000000 0.000000 0.000000
4741.33 0.827383 0.017673 0.827383 0.000000 0.000000 0.000000
4746.33 0.848540 0.017997 0.848540 0.000000 0.000000 0.000000
4751.33 0.856666 0.013133 0.856666 0.000000 0.000000 0.000000
4756.33 0.833901 0.005048 0.833901 0.000000 0.000000 0.000000
4761.33 0.810780 0.015188 0.810780 0.000000 0.000000 0.000000
4766.33 0.798896 0.011696 0.798896 0.000000 0.000000 0.000000
4771.33 0.841702 0.016948 0.841702 0.000000 0.000000 0.000000
4776.34 0.889110 0.030030 0.889110 0.000000 0.000000 0.000000
4781.34 0.876865 0.006900 0.876865 0.000000 0.000000 0.000000
4786.34 0.836062 0.034208 0.836062 0.000000 0.000000 0.000000
4791.34 0.853383 0.002716 0.853383 0.000000 0.000000 0.000000
4796.34 0.884422 0.017116 0.884422 0.000000 0.000000 0.000000
4801.34 0.880074 0.004959 0.880074 0.000000 0.000000 0.000000
4806.34 0.870745 0.006361 0.870745 0.000000 0.000000 0.000000
4811.34 0.867771 0.002604 0.867771 0.000000 0.000000 0.000000
4816.35 0.897812 0.017255 0.897812 0.000000 0.000000 0.000000
4821.35 0.911767 0.017446 0.911767 0.000000 0.000000 0.000000
4826.35 0.888490 0.007395 0.888490 0.000000 0.000000 0.000000
4831.35 0.873275 0.009176 0.873275 0.000000 0.000000 0.000000
4836.35 0.869157 0.005803 0.869157 0.000000 0.000000 0.000000
4841.35 0.860839 0.008683 0.860839 0.000000 0.000000 0.000000
4846.35 0.865361 0.004272 0.865361 0.000000 0.000000 0.000000
4851.36 0.859840 0.008166 0.859840 0.000000 0.000000 0.000000
4856.36 0.806116 0.018497 0.806116 0.000000 0.000000 0.000000
4861.36 0.742994 0.029233 0.742994 0.000000 0.000000 0.000000
4866.36 0.748017 0.017799 0.748017 0.000000 0.000000 0.000000
4871.36 0.768004 0.012529 0.768004 0.000000 0.000000 0.000000
4876.36 0.798188 0.002457 0.798188 0.000000 0.000000 0.000000
4881.36 0.826615 0.011998 0.826615 0.000000 0.000000 0.000000
4886.36 0.793349 0.037646 0.793349 0.000000 0.000000 0.000000
4891.37 0.812599 0.006407 0.812599 0.000000 0.000000 0.000000
4896.37 0.890748 0.039060 0.890748 0.000000 0.000000 0.000000
4901.37 0.909358 0.023538 0.909358 0.000000 0.000000 0.000000
4906.37 0.890753 0.006319 0.890753 0.000000 0.000000 0.000000
4911.37 0.868605 0.003621 0.868605 0.000000 0.000000 0.000000
4916.37 0.845914 0.016536 0.845914 0.000000 0.000000 0.000000
4921.37 0.796383 0.023896 0.796383 0.000000 0.000000 0.000000
4926.37 0.837082 0.014196 0.837082 0.000000 0.000000 0.000000
4931.38 0.893971 0.038006 0.893971 0.000000 0.000000 0.000000
4936.38 0.858096 0.025097 0.858096 0.000000 0.000000 0.000000
4941.38 0.862687 0.009677 0.862687 0.000000 0.000000 0.000000
4946.38 0.923912 0.028388 0.923912 0.000000 0.000000 0.000000
4951.38 0.947816 0.034837 0.947816 0.000000 0.000000 0.000000
4956.38 0.917988 0.011568 0.917988 0.000000 0.000000 0.000000
4961.38 0.906976 0.006331 0.906976 0.000000 0.000000 0.000000
4966.39 0.899452 0.020397 0.899452 0.000000 0.000000 0.000000
