# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
4306.21 1.138038 0.000000 1.138038 0.000000 0.000000
4311.21 1.156448 0.000000 1.156448 0.000000 0.000000
4316.21 1.220382 0.000000 1.220382 0.000000 0.000000
4321.21 1.282112 0.000000 1.282112 0.000000 0.000000
4326.22 1.283640 0.000000 1.283640 0.000000 0.000000
4331.22 1.183385 0.000000 1.183385 0.000000 0.000000
4336.22 0.985277 0.000000 0.985277 0.000000 0.000000
4341.22 0.858867 0.000000 0.858867 0.000000 0.000000
4346.22 0.947607 0.000000 0.947607 0.000000 0.000000
4351.22 1.124931 0.000000 1.124931 0.000000 0.000000
4356.22 1.236052 0.000000 1.236052 0.000000 0.000000
4361.23 1.283294 0.000000 1.283294 0.000000 0.000000
4366.23 1.302133 0.000000 1.302133 0.000000 0.000000
4371.23 1.303545 0.000000 1.303545 0.000000 0.000000
4376.23 1.292719 0.000000 1.292719 0.000000 0.000000
4381.23 1.276221 0.000000 1.276221 0.000000 0.000000
4386.23 1.260845 0.000000 1.260845 0.000000 0.000000
4391.23 1.252928 0.000000 1.252928 0.000000 0.000000
4396.23 1.257674 0.000000 1.257674 0.000000 0.000000
4401.24 1.276221 0.000000 1.276221 0.000000 0.000000
4406.24 1.304346 0.000000 1.304346 0.000000 0.000000
4411.24 1.320462 0.000000 1.320462 0.000000 0.000000
4416.24 1.309667 0.000000 1.309667 0.000000 0.000000
4421.24 1.301146 0.000000 1.301146 0.000000 0.000000
4426.24 1.320839 0.000000 1.320839 0.000000 0.000000
4431.24 1.337599 0.000000 1.337599 0.000000 0.000000
4436.25 1.321672 0.000000 1.321672 0.000000 0.000000
4441.25 1.305948 0.000000 1.305948 0.000000 0.000000
4446.25 1.320982 0.000000 1.320982 0.000000 0.000000
4451.25 1.325336 0.000000 1.325336 0.000000 0.000000
4456.25 1.281722 0.000000 1.281722 0.000000 0.000000
4461.25 1.241441 0.000000 1.241441 0.000000 0.000000
4466.25 1.256158 0.000000 1.256158 0.000000 0.000000
4471.25 1.290405 0.000000 1.290405 0.000000 0.000000
4476.26 1.300865 0.000000 1.300865 0.000000 0.000000
4481.26 1.299948 0.000000 1.299948 0.000000 0.000000
4486.26 1.307735 0.000000 1.307735 0.000000 0.000000
4491.26 1.319247 0.000000 1.319247 0.000000 0.000000
4496.26 1.327191 0.000000 1.327191 0.000000 0.000000
4501.26 1.340066 0.000000 1.340066 0.000000 0.000000
4506.26 1.363718 0.000000 1.363718 0.000000 0.000000
4511.27 1.377609 0.000000 1.377609 0.000000 0.000000
4516.27 1.360912 0.000000 1.360912 0.000000 0.000000
4521.27 1.318032 0.000000 1.318032 0.000000 0.000000
4526.27 1.265577 0.000000 1.265577 0.000000 0.000000
4531.27 1.243730 0.000000 1.243730 0.000000 0.000000
4536.27 1.277894 0.000000 1.277894 0.000000 0.000000
4541.27 1.310769 0.000000 1.310769 0.000000 0.000000
4546.27 1.288688 0.000000 1.288688 0.000000 0.000000
4551.28 1.255238 0.000000 1.255238 0.000000 0.000000
4556.28 1.261094 0.000000 1.261094 0.000000 0.000000
4561.28 1.288030 0.000000 1.288030 0.000000 0.000000
4566.28 1.306222 0.000000 1.306222 0.000000 0.000000
4571.28 1.308356 0.000000 1.308356 0.000000 0.000000
4576.28 1.295355 0.000000 1.295355 0.000000 0.000000
4581.28 1.278574 0.000000 1.278574 0.000000 0.000000
4586.28 1.269146 0.000000 1.269146 0.000000 0.000000
4591.29 1.266852 0.000000 1.266852 0.000000 0.000000
4596.29 1.269974 0.000000 1.269974 0.000000 0.000000
4601.29 1.282112 0.000000 1.282112 0.000000 0.000000
4606.29 1.304113 0.000000 1.304113 0.000000 0.000000
4611.29 1.320462 0.000000 1.320462 0.000000 0.000000
4616.29 1.317576 0.000000 1.317576 0.000000 0.000000
4621.29 1.305948 0.000000 1.305948 0.000000 0.000000
4626.30 1.299123 0.000000 1.299123 0.000000 0.000000
4631.30 1.298751 0.000000 1.298751 0.000000 0.000000
4636.30 1.301397 0.000000 1.301397 0.000000 0.000000
4641.30 1.295168 0.000000 1.295168 0.000000 0.000000
4646.30 1.274115 0.000000 1.274115 0.000000 0.000000
4651.30 1.264521 0.000000 1.264521 0.000000 0.000000
4656.30 1.285638 0.000000 1.285638 0.000000 0.000000
4661.30 1.296361 0.000000 1.296361 0.000000 0.000000
4666.31 1.261664 0.000000 1.261664 0.000000 0.000000
4671.31 1.231193 0.000000 1.231193 0.000000 0.000000
4676.31 1.254383 0.000000 1.254383 0.000000 0.000000
4681.31 1.295168 0.000000 1.295168 0.000000 0.000000
4686.31 1.308179 0.000000 1.308179 0.000000 0.000000
