# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
4686.31 0.505522 0.031170 0.427980 0.855054
4691.31 0.666827 0.029843 0.481075 1.211358
4696.31 0.860928 0.031313 0.527434 1.657636
4701.32 0.764959 0.033986 0.558449 1.383046
4706.32 0.584776 0.035780 0.566621 0.917562
4711.32 0.446124 0.041655 0.549994 0.582287
4716.32 0.325935 0.049589 0.527367 0.299869
4721.32 0.330964 0.044375 0.525622 0.314377
4726.32 0.449355 0.026981 0.552729 0.587751
4731.32 0.430313 0.037758 0.578689 0.513461
4736.32 0.440327 0.042170 0.588967 0.528601
4741.33 0.780477 0.047196 0.607209 1.373671
4746.33 1.286645 0.048787 0.679397 2.586158
4751.33 1.561109 0.057663 0.736743 3.225413
4756.33 1.140518 0.085923 0.694947 2.199732
4761.33 0.450692 0.093521 0.505434 0.638441
4766.33 0.209244 0.115466 0.326372 0.204696
4771.33 0.199535 0.082518 0.268888 0.237541
4776.34 0.239014 0.058145 0.287325 0.319301
4781.34 0.374504 0.047756 0.319344 0.631163
4786.34 0.508642 0.050943 0.352986 0.937968
4791.34 0.559500 0.058426 0.398088 1.021945
4796.34 0.554749 0.045515 0.441752 0.966222
4801.34 0.491160 0.037885 0.448927 0.797656
4806.34 0.338617 0.053940 0.374912 0.484512
4811.34 0.185981 0.073607 0.316975 0.155051
4816.35 0.196839 0.059925 0.332901 0.166683
4821.35 0.573995 0.044080 0.368511 1.088310
4826.35 0.925703 0.045026 0.390585 1.958884
4831.35 0.604038 0.049623 0.417966 1.115107
4836.35 0.348475 0.040730 0.461412 0.423031
4841.35 0.604883 0.033216 0.482797 1.052419
4846.35 0.631440 0.042082 0.462761 1.139857
4851.36 0.394700 0.052910 0.427312 0.574451
4856.36 0.313592 0.046612 0.417560 0.378348
4861.36 0.665096 0.041019 0.424856 1.263183
4866.36 1.062816 0.040258 0.450244 2.247224
4871.36 0.774376 0.038321 0.490820 1.474575
4876.36 0.667317 0.036898 0.531855 1.161822
4881.36 1.188197 0.037109 0.571369 2.444320
4886.36 1.249854 0.031288 0.611455 2.560723
4891.37 0.888542 0.027209 0.637533 1.617620
4896.37 0.719992 0.029893 0.659780 1.167587
4901.37 0.798986 0.035714 0.701408 1.326450
4906.37 0.934070 0.033920 0.763260 1.607445
4911.37 0.880528 0.031402 0.832711 1.402103
4916.37 0.835815 0.038627 0.886248 1.235082
4921.37 0.973226 0.052746 0.924349 1.545736
4926.37 1.176557 0.063326 1.000247 1.985899
4931.38 1.331673 0.075212 1.095224 2.284613
4936.38 1.332893 0.094066 1.157962 2.224971
4941.38 1.084673 0.123436 1.227495 1.525446
4946.38 0.874853 0.149368 1.294360 0.926049
4951.38 1.115521 0.154696 1.206111 1.625125
4956.38 0.987546 0.129093 0.769983 1.736447
4961.38 0.322749 0.207603 0.381063 0.438088
4966.39 0.198178 0.143230 0.279898 0.223085
4971.39 0.488123 0.062806 0.293121 0.945754
4976.39 0.630334 0.053851 0.316523 1.283290
4981.39 0.771510 0.056963 0.340844 1.617277
4986.39 0.952823 0.060367 0.385889 2.032411
4991.39 0.892723 0.057969 0.424656 1.841109
4996.39 0.632848 0.059631 0.423142 1.183050
5001.39 0.395375 0.058682 0.384012 0.619465
5006.40 0.295475 0.053620 0.352797 0.397129
5011.40 0.302904 0.045446 0.354613 0.414169
5016.40 0.305465 0.042621 0.369846 0.405436
5021.40 0.467578 0.042218 0.402389 0.784341
5026.40 0.804239 0.040343 0.449932 1.591258
5031.40 0.821940 0.034491 0.508749 1.577367
5036.40 0.530450 0.029362 0.561160 0.785143
5041.41 0.422799 0.025177 0.612884 0.460197
5046.41 0.439447 0.027712 0.664885 0.450449
5051.41 0.483880 0.029088 0.685036 0.543069
5056.41 0.749720 0.027483 0.723163 1.179656
5061.41 1.117885 0.018429 0.783232 2.054003
5066.41 1.290613 0.024428 0.828539 2.447086
5071.41 1.092833 0.029690 0.886468 1.887184
5076.41 0.744301 0.026639 0.922939 0.966125
5081.42 0.758979 0.043746 0.947702 0.978615
5086.42 0.996274 0.060114 1.002542 1.526039
5091.42 1.175629 0.056204 1.059015 1.924776
5096.42 1.228818 0.060303 1.093333 2.025455
5101.42 1.214002 0.055155 1.103526 1.977659
5106.42 1.279868 0.056569 1.120202 2.128152
5111.42 1.605665 0.070331 1.154763 2.920476
5116.43 1.912245 0.090030 1.263449 3.589902
5121.43 1.592446 0.118234 1.356036 2.685653
5126.43 1.202081 0.156323 1.386788 1.664139
5131.43 1.275343 0.153305 1.428692 1.808178
5136.43 1.467588 0.129822 1.437211 2.287585
5141.43 1.502675 0.109039 1.396643 2.417204
5146.43 1.324252 0.104987 1.375438 1.985565
5151.43 1.099227 0.153573 1.428635 1.361244
5156.44 1.143237 0.259802 1.578099 1.323480
5161.44 1.713473 0.275512 1.610800 2.738062
5166.44 1.847481 0.109001 1.170243 3.518736
5171.44 0.872722 0.245006 0.592440 1.622561
5176.44 0.232782 0.188273 0.372402 0.218408
5181.44 0.282184 0.069645 0.355415 0.360779
5186.44 0.321604 0.058344 0.393646 0.422596
5191.45 0.545580 0.060770 0.457372 0.927332
