# lk ukf_rf8v uks_rf8v fh fse
# iRMS=8.888132288e-05 0
# 
5411.50 0.979322 0.008048 0.979322 0.000000
5416.51 1.006251 0.009991 1.006251 0.000000
5421.51 1.019086 0.004367 1.019086 0.000000
5426.51 1.015710 0.002458 1.015710 0.000000
5431.51 1.008750 0.000977 1.008750 0.000000
5436.51 1.019627 0.001644 1.019627 0.000000
5441.51 1.037585 0.000000 1.037585 0.000000
5446.51 1.024595 0.013672 1.024595 0.000000
5451.51 1.019821 0.005708 1.019821 0.000000
5456.52 1.013140 0.004947 1.013140 0.000000
5461.52 1.017461 0.002957 1.017461 0.000000
5466.52 1.019422 0.013857 1.019422 0.000000
5471.52 1.027991 0.003906 1.027991 0.000000
5476.52 1.001947 0.005121 1.001947 0.000000
5481.52 0.987094 0.000630 0.987094 0.000000
5486.52 1.012600 0.009959 1.012600 0.000000
5491.53 1.025507 0.003521 1.025507 0.000000
5496.53 1.024026 0.007480 1.024026 0.000000
5501.53 1.018381 0.001322 1.018381 0.000000
5506.53 1.009527 0.005510 1.009527 0.000000
5511.53 1.014157 0.010419 1.014157 0.000000
5516.53 1.025034 0.003062 1.025034 0.000000
5521.53 1.029910 0.002819 1.029910 0.000000
5526.53 1.013295 0.001912 1.013295 0.000000
5531.54 0.996747 0.001993 0.996747 0.000000
5536.54 1.002136 0.004026 1.002136 0.000000
5541.54 1.018528 0.004717 1.018528 0.000000
5546.54 1.020445 0.005510 1.020445 0.000000
5551.54 1.027945 0.001827 1.027945 0.000000
5556.54 1.021155 0.008013 1.021155 0.000000
5561.54 1.007234 0.009401 1.007234 0.000000
5566.55 0.988671 0.001993 0.988671 0.000000
5571.55 0.979755 0.002308 0.979755 0.000000
5576.55 0.991493 0.004358 0.991493 0.000000
5581.55 1.005531 0.003803 1.005531 0.000000
5586.55 0.981175 0.005673 0.981175 0.000000
5591.55 0.956199 0.002861 0.956199 0.000000
5596.55 0.958048 0.013945 0.958048 0.000000
5601.55 0.970740 0.003300 0.970740 0.000000
5606.56 1.000736 0.010472 1.000736 0.000000
5611.56 1.017948 0.016621 1.017948 0.000000
5616.56 0.988454 0.020894 0.988454 0.000000
5621.56 0.976979 0.002220 0.976979 0.000000
5626.56 0.982528 0.001953 0.982528 0.000000
5631.56 0.995033 0.002110 0.995033 0.000000
5636.56 0.984351 0.008043 0.984351 0.000000
5641.57 0.978260 0.006713 0.978260 0.000000
5646.57 0.992163 0.004257 0.992163 0.000000
5651.57 0.987624 0.013828 0.987624 0.000000
5656.57 0.960364 0.012598 0.960364 0.000000
5661.57 0.944103 0.003010 0.944103 0.000000
5666.57 0.955957 0.006176 0.955957 0.000000
5671.57 0.979154 0.010915 0.979154 0.000000
5676.57 0.985433 0.012056 0.985433 0.000000
5681.58 0.975039 0.013576 0.975039 0.000000
5686.58 0.963579 0.012191 0.963579 0.000000
5691.58 0.967339 0.003719 0.967339 0.000000
5696.58 0.975479 0.006653 0.975479 0.000000
5701.58 0.972902 0.009757 0.972902 0.000000
5706.58 0.944098 0.009883 0.944098 0.000000
5711.58 0.924784 0.009354 0.924784 0.000000
5716.59 0.952602 0.004850 0.952602 0.000000
5721.59 0.986892 0.005144 0.986892 0.000000
5726.59 0.991836 0.008523 0.991836 0.000000
5731.59 0.990250 0.004431 0.990250 0.000000
5736.59 0.987783 0.009384 0.987783 0.000000
5741.59 0.986203 0.014399 0.986203 0.000000
5746.59 0.982676 0.011715 0.982676 0.000000
5751.59 0.970151 0.011894 0.970151 0.000000
5756.60 0.965561 0.002458 0.965561 0.000000
5761.60 0.972507 0.008424 0.972507 0.000000
5766.60 0.985823 0.008087 0.985823 0.000000
