# lk ukf_m3iii uks_m3iii fh fl fd fm fsv
# lRMS=0.06043180451 iRMS=0.04044797271 0
# 
3986.13 0.156194 0.010744 0.115621 0.000000 0.000000 0.218226 0.000000
3991.13 0.153647 0.010842 0.125698 0.000000 0.000000 0.202705 0.000000
3996.13 0.181514 0.013084 0.131605 0.000000 0.000000 0.256362 0.000000
4001.13 0.215273 0.015011 0.139609 0.000000 0.000000 0.320513 0.000000
4006.13 0.208410 0.014098 0.147870 0.000000 0.000000 0.297584 0.000000
4011.13 0.204098 0.013183 0.155701 0.000000 0.000000 0.280536 0.000000
4016.13 0.228696 0.016255 0.164637 0.000000 0.000000 0.324175 0.000000
4021.14 0.260198 0.017691 0.164920 0.000000 0.000000 0.391224 0.000000
4026.14 0.237392 0.014132 0.160494 0.000000 0.000000 0.346906 0.000000
4031.14 0.164538 0.010435 0.152791 0.000000 0.000000 0.198890 0.000000
4036.14 0.176147 0.014967 0.158810 0.000000 0.000000 0.217684 0.000000
4041.14 0.246074 0.023233 0.170986 0.000000 0.000000 0.354968 0.000000
4046.14 0.272644 0.018209 0.164990 0.000000 0.000000 0.417757 0.000000
4051.14 0.262952 0.014136 0.171439 0.000000 0.000000 0.390591 0.000000
4056.15 0.227011 0.014557 0.177602 0.000000 0.000000 0.307608 0.000000
4061.15 0.189373 0.013841 0.174091 0.000000 0.000000 0.230674 0.000000
4066.15 0.211953 0.016534 0.171820 0.000000 0.000000 0.281205 0.000000
4071.15 0.278746 0.019593 0.174618 0.000000 0.000000 0.421170 0.000000
4076.15 0.250049 0.016066 0.177809 0.000000 0.000000 0.356642 0.000000
4081.15 0.218204 0.016448 0.193660 0.000000 0.000000 0.272726 0.000000
4086.15 0.320308 0.025815 0.223007 0.000000 0.000000 0.461616 0.000000
4091.15 0.389213 0.028700 0.226382 0.000000 0.000000 0.605517 0.000000
4096.16 0.340189 0.019872 0.205492 0.000000 0.000000 0.521624 0.000000
4101.16 0.295045 0.013349 0.186805 0.000000 0.000000 0.443820 0.000000
4106.16 0.292786 0.015360 0.192358 0.000000 0.000000 0.433439 0.000000
4111.16 0.295176 0.021418 0.198579 0.000000 0.000000 0.432327 0.000000
4116.16 0.282192 0.022883 0.197450 0.000000 0.000000 0.405704 0.000000
4121.16 0.280020 0.020063 0.200390 0.000000 0.000000 0.398121 0.000000
4126.16 0.324710 0.021523 0.207766 0.000000 0.000000 0.486265 0.000000
4131.17 0.336380 0.018271 0.200521 0.000000 0.000000 0.518453 0.000000
4136.17 0.283830 0.019543 0.197671 0.000000 0.000000 0.408983 0.000000
4141.17 0.234774 0.019386 0.194887 0.000000 0.000000 0.306915 0.000000
4146.17 0.220782 0.016643 0.192479 0.000000 0.000000 0.279418 0.000000
4151.17 0.247479 0.016112 0.205405 0.000000 0.000000 0.323554 0.000000
4156.17 0.298066 0.025515 0.226965 0.000000 0.000000 0.410118 0.000000
4161.17 0.323667 0.031510 0.239319 0.000000 0.000000 0.452484 0.000000
4166.17 0.272124 0.025775 0.228410 0.000000 0.000000 0.353224 0.000000
4171.18 0.210545 0.017342 0.209355 0.000000 0.000000 0.240661 0.000000
4176.18 0.211591 0.019508 0.207044 0.000000 0.000000 0.245209 0.000000
4181.18 0.275634 0.025056 0.228065 0.000000 0.000000 0.361073 0.000000
4186.18 0.334105 0.027426 0.238432 0.000000 0.000000 0.475679 0.000000
4191.18 0.327291 0.023751 0.235820 0.000000 0.000000 0.463727 0.000000
4196.18 0.285089 0.017852 0.224883 0.000000 0.000000 0.384463 0.000000
4201.18 0.255668 0.014244 0.210640 0.000000 0.000000 0.335822 0.000000
4206.18 0.281188 0.019696 0.221024 0.000000 0.000000 0.379983 0.000000
4211.19 0.298868 0.026803 0.233212 0.000000 0.000000 0.405585 0.000000
4216.19 0.237306 0.026242 0.222254 0.000000 0.000000 0.284960 0.000000
4221.19 0.155044 0.020097 0.192350 0.000000 0.000000 0.139040 0.000000
4226.19 0.103754 0.004279 0.148990 0.000000 0.000000 0.072773 0.000000
4231.19 0.124277 0.010422 0.148676 0.000000 0.000000 0.116953 0.000000
4236.19 0.203567 0.011312 0.197704 0.000000 0.000000 0.237398 0.000000
4241.19 0.283222 0.014501 0.243625 0.000000 0.000000 0.361731 0.000000
4246.20 0.308350 0.021785 0.261935 0.000000 0.000000 0.397129 0.000000
4251.20 0.274132 0.017000 0.245803 0.000000 0.000000 0.340124 0.000000
4256.20 0.237548 0.014707 0.233297 0.000000 0.000000 0.274435 0.000000
4261.20 0.286137 0.010372 0.243169 0.000000 0.000000 0.368418 0.000000
4266.20 0.354016 0.022103 0.259842 0.000000 0.000000 0.496827 0.000000
4271.20 0.279921 0.014041 0.251092 0.000000 0.000000 0.347207 0.000000
4276.20 0.235595 0.018978 0.242055 0.000000 0.000000 0.261503 0.000000
4281.20 0.318073 0.023825 0.252753 0.000000 0.000000 0.427092 0.000000
4286.21 0.317530 0.017272 0.242288 0.000000 0.000000 0.436396 0.000000
4291.21 0.267219 0.006287 0.228141 0.000000 0.000000 0.343010 0.000000
4296.21 0.284542 0.011035 0.234889 0.000000 0.000000 0.373287 0.000000
4301.21 0.281777 0.014516 0.238137 0.000000 0.000000 0.364130 0.000000
4306.21 0.274397 0.013736 0.244917 0.000000 0.000000 0.341577 0.000000
4311.21 0.361603 0.008961 0.267973 0.000000 0.000000 0.504914 0.000000
4316.21 0.416575 0.019197 0.316092 0.000000 0.000000 0.574290 0.000000
4321.21 0.324687 0.030543 0.343701 0.000000 0.000000 0.350280 0.000000
4326.22 0.317959 0.033057 0.342038 0.000000 0.000000 0.337563 0.000000
4331.22 0.442510 0.031133 0.357804 0.000000 0.000000 0.588012 0.000000
4336.22 0.487285 0.032267 0.368922 0.000000 0.000000 0.672596 0.000000
4341.22 0.500778 0.016753 0.358492 0.000000 0.000000 0.711866 0.000000
4346.22 0.554100 0.019120 0.368749 0.000000 0.000000 0.815577 0.000000
4351.22 0.541749 0.022503 0.377536 0.000000 0.000000 0.780392 0.000000
4356.22 0.518155 0.021977 0.380420 0.000000 0.000000 0.727077 0.000000
4361.23 0.577436 0.021168 0.393772 0.000000 0.000000 0.840432 0.000000
4366.23 0.603568 0.025664 0.408061 0.000000 0.000000 0.881998 0.000000
4371.23 0.556602 0.025468 0.400706 0.000000 0.000000 0.788968 0.000000
4376.23 0.508749 0.023697 0.376624 0.000000 0.000000 0.710771 0.000000
4381.23 0.431391 0.023051 0.350709 0.000000 0.000000 0.571341 0.000000
4386.23 0.352020 0.013824 0.334101 0.000000 0.000000 0.418302 0.000000
4391.23 0.437789 0.017437 0.356120 0.000000 0.000000 0.579605 0.000000
4396.23 0.524549 0.030727 0.383131 0.000000 0.000000 0.738034 0.000000
4401.24 0.412309 0.034653 0.386376 0.000000 0.000000 0.494889 0.000000
4406.24 0.347255 0.022036 0.359626 0.000000 0.000000 0.382592 0.000000
4411.24 0.477346 0.015473 0.367732 0.000000 0.000000 0.652542 0.000000
4416.24 0.638490 0.025281 0.395625 0.000000 0.000000 0.969076 0.000000
4421.24 0.668726 0.030118 0.413540 0.000000 0.000000 1.015787 0.000000
4426.24 0.518485 0.027789 0.411265 0.000000 0.000000 0.696939 0.000000
4431.24 0.403513 0.023340 0.407900 0.000000 0.000000 0.454564 0.000000
4436.25 0.416055 0.017146 0.410737 0.000000 0.000000 0.478534 0.000000
4441.25 0.486126 0.021950 0.431010 0.000000 0.000000 0.608030 0.000000
4446.25 0.531813 0.033633 0.449271 0.000000 0.000000 0.687419 0.000000
4451.25 0.505512 0.042497 0.451100 0.000000 0.000000 0.629376 0.000000
