# lk ukf_k5iii uks_k5iii fh fse fl fd fk fc
# lRMS=0.0193966832 iRMS=0.002092176583 0
# 
3841.09 0.057879 0.001695 0.057879 0.000000 0.000000 0.000000 0.000000 0.000000
3846.09 0.063293 0.000303 0.063293 0.000000 0.000000 0.000000 0.000000 0.000000
3851.09 0.067427 0.002522 0.067427 0.000000 0.000000 0.000000 0.000000 0.000000
3856.09 0.068627 0.004270 0.068627 0.000000 0.000000 0.000000 0.000000 0.000000
3861.09 0.067525 0.003668 0.067525 0.000000 0.000000 0.000000 0.000000 0.000000
3866.10 0.066093 0.001560 0.066093 0.000000 0.000000 0.000000 0.000000 0.000000
3871.10 0.065052 0.000996 0.065052 0.000000 0.000000 0.000000 0.000000 0.000000
3876.10 0.064537 0.003468 0.064537 0.000000 0.000000 0.000000 0.000000 0.000000
3881.10 0.066575 0.005445 0.066575 0.000000 0.000000 0.000000 0.000000 0.000000
3886.10 0.072349 0.003169 0.072349 0.000000 0.000000 0.000000 0.000000 0.000000
3891.10 0.079107 0.001470 0.079107 0.000000 0.000000 0.000000 0.000000 0.000000
3896.10 0.084629 0.004788 0.084629 0.000000 0.000000 0.000000 0.000000 0.000000
3901.10 0.089726 0.005093 0.089726 0.000000 0.000000 0.000000 0.000000 0.000000
3906.11 0.095244 0.001890 0.095244 0.000000 0.000000 0.000000 0.000000 0.000000
3911.11 0.100280 0.003812 0.100280 0.000000 0.000000 0.000000 0.000000 0.000000
3916.11 0.102031 0.009623 0.102031 0.000000 0.000000 0.000000 0.000000 0.000000
3921.11 0.096224 0.014171 0.096224 0.000000 0.000000 0.000000 0.000000 0.000000
3926.11 0.081181 0.016959 0.081181 0.000000 0.000000 0.000000 0.000000 0.000000
3931.11 0.063135 0.015421 0.063135 0.000000 0.000000 0.000000 0.000000 0.000000
3936.11 0.051316 0.009416 0.051316 0.000000 0.000000 0.000000 0.000000 0.000000
3941.12 0.051680 0.002125 0.051680 0.000000 0.000000 0.000000 0.000000 0.000000
3946.12 0.064754 0.004128 0.064754 0.000000 0.000000 0.000000 0.000000 0.000000
3951.12 0.080598 0.004526 0.080598 0.000000 0.000000 0.000000 0.000000 0.000000
3956.12 0.087321 0.002281 0.087321 0.000000 0.000000 0.000000 0.000000 0.000000
3961.12 0.082755 0.009445 0.082755 0.000000 0.000000 0.000000 0.000000 0.000000
3966.12 0.071973 0.012105 0.071973 0.000000 0.000000 0.000000 0.000000 0.000000
3971.12 0.066727 0.007059 0.066727 0.000000 0.000000 0.000000 0.000000 0.000000
3976.12 0.077463 0.005518 0.077463 0.000000 0.000000 0.000000 0.000000 0.000000
3981.13 0.100708 0.015944 0.100708 0.000000 0.000000 0.000000 0.000000 0.000000
3986.13 0.127122 0.017975 0.127122 0.000000 0.000000 0.000000 0.000000 0.000000
3991.13 0.150080 0.014469 0.150080 0.000000 0.000000 0.000000 0.000000 0.000000
3996.13 0.166137 0.009302 0.166137 0.000000 0.000000 0.000000 0.000000 0.000000
4001.13 0.177844 0.005921 0.177844 0.000000 0.000000 0.000000 0.000000 0.000000
4006.13 0.189845 0.005115 0.189845 0.000000 0.000000 0.000000 0.000000 0.000000
4011.13 0.203122 0.004400 0.203122 0.000000 0.000000 0.000000 0.000000 0.000000
4016.13 0.215177 0.002807 0.215177 0.000000 0.000000 0.000000 0.000000 0.000000
4021.14 0.220569 0.000223 0.220569 0.000000 0.000000 0.000000 0.000000 0.000000
4026.14 0.215920 0.003432 0.215920 0.000000 0.000000 0.000000 0.000000 0.000000
4031.14 0.206156 0.005418 0.206156 0.000000 0.000000 0.000000 0.000000 0.000000
4036.14 0.199188 0.004995 0.199188 0.000000 0.000000 0.000000 0.000000 0.000000
4041.14 0.199817 0.004196 0.199817 0.000000 0.000000 0.000000 0.000000 0.000000
4046.14 0.208211 0.003265 0.208211 0.000000 0.000000 0.000000 0.000000 0.000000
4051.14 0.217787 0.002527 0.217787 0.000000 0.000000 0.000000 0.000000 0.000000
4056.15 0.221296 0.001709 0.221296 0.000000 0.000000 0.000000 0.000000 0.000000
4061.15 0.217249 0.000000 0.217249 0.000000 0.000000 0.000000 0.000000 0.000000
4066.15 0.209610 0.001057 0.209610 0.000000 0.000000 0.000000 0.000000 0.000000
4071.15 0.208004 0.001995 0.208004 0.000000 0.000000 0.000000 0.000000 0.000000
4076.15 0.219636 0.004023 0.219636 0.000000 0.000000 0.000000 0.000000 0.000000
4081.15 0.240306 0.004514 0.240306 0.000000 0.000000 0.000000 0.000000 0.000000
4086.15 0.260426 0.002906 0.260426 0.000000 0.000000 0.000000 0.000000 0.000000
4091.15 0.270109 0.000590 0.270109 0.000000 0.000000 0.000000 0.000000 0.000000
4096.16 0.264283 0.006333 0.264283 0.000000 0.000000 0.000000 0.000000 0.000000
4101.16 0.250258 0.009370 0.250258 0.000000 0.000000 0.000000 0.000000 0.000000
4106.16 0.238626 0.007077 0.238626 0.000000 0.000000 0.000000 0.000000 0.000000
4111.16 0.233808 0.003400 0.233808 0.000000 0.000000 0.000000 0.000000 0.000000
4116.16 0.235697 0.001408 0.235697 0.000000 0.000000 0.000000 0.000000 0.000000
4121.16 0.239729 0.002711 0.239729 0.000000 0.000000 0.000000 0.000000 0.000000
4126.16 0.240515 0.006961 0.240515 0.000000 0.000000 0.000000 0.000000 0.000000
4131.17 0.236851 0.010863 0.236851 0.000000 0.000000 0.000000 0.000000 0.000000
