# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
4201.18 0.495865 0.000000 0.724078 0.000000 2.710914
4206.18 0.452939 0.000000 0.727385 0.000000 2.410242
4211.19 0.398495 0.000000 0.633552 0.000000 2.126926
4216.19 0.292933 0.000000 0.463755 0.000000 1.565471
4221.19 0.172927 0.000000 0.293634 0.000000 0.904281
4226.19 0.107034 0.000000 0.197497 0.000000 0.543958
4231.19 0.155475 0.000000 0.189864 0.000000 0.887151
4236.19 0.271829 0.000000 0.261162 0.000000 1.621872
4241.19 0.402618 0.000000 0.365236 0.000000 2.423809
4246.20 0.537495 0.000000 0.451623 0.000000 3.271746
4251.20 0.542496 0.000000 0.489226 0.000000 3.268791
4256.20 0.353755 0.000000 0.465709 0.000000 1.984848
4261.20 0.326529 0.000000 0.424426 0.000000 1.837527
4266.20 0.446714 0.000000 0.407887 0.000000 2.686618
4271.20 0.358618 0.000000 0.399538 0.000000 2.084704
4276.20 0.309755 0.000000 0.377505 0.000000 1.768251
4281.20 0.470619 0.000000 0.357695 0.000000 2.902410
4286.21 0.541512 0.000000 0.364222 0.000000 3.386974
4291.21 0.443420 0.000000 0.416231 0.000000 2.655460
4296.21 0.315396 0.000000 0.515884 0.000000 1.668951
4301.21 0.450862 0.000000 0.602360 0.000000 2.520882
4306.21 0.686878 0.000000 0.612648 0.000000 4.145542
4311.21 0.531501 0.000000 0.537956 0.000000 3.143897
4316.21 0.303250 0.000000 0.400239 0.000000 1.700457
4321.21 0.372612 0.000000 0.290202 0.000000 2.290984
4326.22 0.421393 0.000000 0.288418 0.000000 2.630681
4331.22 0.333970 0.000000 0.366165 0.000000 1.947333
4336.22 0.303237 0.000000 0.467702 0.000000 1.632902
4341.22 0.343407 0.000000 0.538506 0.000000 1.840365
4346.22 0.390960 0.000000 0.537395 0.000000 2.170888
4351.22 0.375361 0.000000 0.475331 0.000000 2.124895
4356.22 0.329672 0.000000 0.384512 0.000000 1.899215
4361.23 0.329315 0.000000 0.329911 0.000000 1.951343
4366.23 0.379056 0.000000 0.358233 0.000000 2.267592
