# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
3661.04 0.246138 0.000000 0.246138 0.000000 0.000000 0.000000 0.000000
3666.04 0.241606 0.000000 0.241606 0.000000 0.000000 0.000000 0.000000
3671.05 0.231734 0.000000 0.231734 0.000000 0.000000 0.000000 0.000000
3676.05 0.224991 0.000000 0.224991 0.000000 0.000000 0.000000 0.000000
3681.05 0.211777 0.000000 0.211777 0.000000 0.000000 0.000000 0.000000
3686.05 0.200966 0.000000 0.200966 0.000000 0.000000 0.000000 0.000000
3691.05 0.209607 0.000000 0.209607 0.000000 0.000000 0.000000 0.000000
3696.05 0.229271 0.000000 0.229271 0.000000 0.000000 0.000000 0.000000
3701.05 0.229362 0.000000 0.229362 0.000000 0.000000 0.000000 0.000000
3706.05 0.206801 0.000000 0.206801 0.000000 0.000000 0.000000 0.000000
3711.06 0.201935 0.000000 0.201935 0.000000 0.000000 0.000000 0.000000
3716.06 0.204116 0.000000 0.204116 0.000000 0.000000 0.000000 0.000000
3721.06 0.179920 0.000000 0.179920 0.000000 0.000000 0.000000 0.000000
3726.06 0.163830 0.000000 0.163830 0.000000 0.000000 0.000000 0.000000
3731.06 0.152999 0.000000 0.152999 0.000000 0.000000 0.000000 0.000000
3736.06 0.137181 0.000000 0.137181 0.000000 0.000000 0.000000 0.000000
3741.06 0.135909 0.000000 0.135909 0.000000 0.000000 0.000000 0.000000
3746.06 0.136646 0.000000 0.136646 0.000000 0.000000 0.000000 0.000000
3751.07 0.144802 0.000000 0.144802 0.000000 0.000000 0.000000 0.000000
3756.07 0.161488 0.000000 0.161488 0.000000 0.000000 0.000000 0.000000
3761.07 0.162830 0.000000 0.162830 0.000000 0.000000 0.000000 0.000000
3766.07 0.169795 0.000000 0.169795 0.000000 0.000000 0.000000 0.000000
3771.07 0.196686 0.000000 0.196686 0.000000 0.000000 0.000000 0.000000
3776.07 0.223931 0.000000 0.223931 0.000000 0.000000 0.000000 0.000000
3781.07 0.232592 0.000000 0.232592 0.000000 0.000000 0.000000 0.000000
3786.08 0.214271 0.000000 0.214271 0.000000 0.000000 0.000000 0.000000
3791.08 0.181929 0.000000 0.181929 0.000000 0.000000 0.000000 0.000000
3796.08 0.165414 0.000000 0.165414 0.000000 0.000000 0.000000 0.000000
3801.08 0.172279 0.000000 0.172279 0.000000 0.000000 0.000000 0.000000
3806.08 0.184765 0.000000 0.184765 0.000000 0.000000 0.000000 0.000000
3811.08 0.178234 0.000000 0.178234 0.000000 0.000000 0.000000 0.000000
3816.08 0.151969 0.000000 0.151969 0.000000 0.000000 0.000000 0.000000
3821.08 0.124280 0.000000 0.124280 0.000000 0.000000 0.000000 0.000000
3826.09 0.111107 0.000000 0.111107 0.000000 0.000000 0.000000 0.000000
