# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
5591.55 0.903427 0.000000
5596.55 0.639165 0.000000
5601.55 0.505583 0.000000
5606.56 0.438049 0.000000
5611.56 0.384300 0.000000
5616.56 0.357181 0.000000
5621.56 0.361437 0.000000
5626.56 0.388957 0.000000
5631.56 0.413017 0.000000
5636.56 0.374123 0.000000
5641.57 0.297815 0.000000
5646.57 0.496307 0.000000
5651.57 0.862286 0.000000
5656.57 0.915850 0.000000
5661.57 0.717856 0.000000
5666.57 0.507515 0.000000
5671.57 0.484316 0.000000
5676.57 0.600154 0.000000
5681.58 0.636141 0.000000
5686.58 0.747984 0.000000
5691.58 0.978044 0.000000
5696.58 0.978631 0.000000
5701.58 0.793805 0.000000
5706.58 0.762529 0.000000
5711.58 0.783986 0.000000
5716.59 0.767851 0.000000
5721.59 0.887590 0.000000
5726.59 1.123386 0.000000
5731.59 1.280759 0.000000
5736.59 1.195918 0.000000
5741.59 0.908613 0.000000
5746.59 0.793241 0.000000
5751.59 0.944256 0.000000
5756.60 1.126271 0.000000
5761.60 1.023915 0.000000
5766.60 0.657985 0.000000
5771.60 0.588395 0.000000
5776.60 0.700262 0.000000
5781.60 0.650547 0.000000
5786.60 0.685702 0.000000
5791.61 0.847950 0.000000
5796.61 0.925986 0.000000
5801.61 1.034173 0.000000
5806.61 1.190194 0.000000
5811.61 1.092943 0.000000
5816.61 0.821532 0.000000
5821.61 0.659733 0.000000
5826.62 0.760910 0.000000
5831.62 0.931073 0.000000
5836.62 0.774384 0.000000
5841.62 0.546381 0.000000
5846.62 0.568911 0.000000
5851.62 0.854481 0.000000
5856.62 0.965693 0.000000
5861.62 0.562317 0.000000
5866.63 0.303803 0.000000
5871.63 0.365139 0.000000
5876.63 0.339617 0.000000
5881.63 0.295818 0.000000
5886.63 0.339350 0.000000
5891.63 0.360592 0.000000
5896.63 0.339083 0.000000
5901.64 0.306306 0.000000
5906.64 0.255287 0.000000
5911.64 0.207787 0.000000
5916.64 0.218492 0.000000
5921.64 0.230176 0.000000
5926.64 0.184825 0.000000
5931.64 0.214670 0.000000
5936.64 0.316834 0.000000
5941.65 0.346646 0.000000
5946.65 0.314301 0.000000
5951.65 0.279290 0.000000
5956.65 0.287587 0.000000
5961.65 0.338141 0.000000
5966.65 0.392200 0.000000
5971.65 0.385413 0.000000
5976.66 0.383277 0.000000
5981.66 0.533867 0.000000
5986.66 0.705241 0.000000
5991.66 0.737381 0.000000
5996.66 0.603248 0.000000
6001.66 0.462792 0.000000
6006.66 0.485960 0.000000
6011.66 0.569065 0.000000
6016.67 0.637550 0.000000
6021.67 0.688487 0.000000
6026.67 0.675011 0.000000
6031.67 0.625046 0.000000
6036.67 0.711003 0.000000
6041.67 0.915011 0.000000
6046.67 1.060018 0.000000
6051.68 1.140028 0.000000
6056.68 1.164387 0.000000
6061.68 1.088803 0.000000
6066.68 1.093186 0.000000
6071.68 1.317750 0.000000
6076.68 1.387928 0.000000
6081.68 1.237942 0.000000
6086.68 1.334774 0.000000
6091.69 1.484561 0.000000
6096.69 1.350337 0.000000
6101.69 1.390872 0.000000
6106.69 1.618083 0.000000
6111.69 1.420380 0.000000
6116.69 1.218225 0.000000
6121.69 1.576703 0.000000
6126.70 1.633668 0.000000
6131.70 1.240357 0.000000
6136.70 1.452603 0.000000
6141.70 1.784536 0.000000
6146.70 1.301431 0.000000
6151.70 0.837506 0.000000
6156.70 0.886361 0.000000
6161.70 0.787309 0.000000
6166.71 0.546375 0.000000
6171.71 0.471442 0.000000
6176.71 0.403514 0.000000
6181.71 0.280152 0.000000
6186.71 0.214253 0.000000
6191.71 0.281028 0.000000
6196.71 0.425993 0.000000
6201.72 0.494594 0.000000
6206.72 0.433374 0.000000
6211.72 0.295339 0.000000
6216.72 0.236279 0.000000
6221.72 0.242142 0.000000
6226.72 0.230471 0.000000
6231.72 0.240522 0.000000
6236.72 0.291934 0.000000
6241.73 0.334413 0.000000
6246.73 0.363333 0.000000
6251.73 0.386393 0.000000
