# lk ukf_m4iii uks_m4iii fh fl fm fsv
# lRMS=0.06283461303 iRMS=0.08481960744 0
# 
4081.15 0.253683 0.044508 0.213350 0.000000 0.400310 0.000000
4086.15 0.380145 0.056089 0.244549 0.000000 0.675024 0.000000
4091.15 0.472038 0.063686 0.260624 0.000000 0.881238 0.000000
4096.16 0.410087 0.055888 0.240030 0.000000 0.751972 0.000000
4101.16 0.351706 0.047304 0.214027 0.000000 0.636751 0.000000
4106.16 0.349809 0.048060 0.220296 0.000000 0.625893 0.000000
4111.16 0.355629 0.049265 0.230627 0.000000 0.629641 0.000000
4116.16 0.339184 0.047928 0.230166 0.000000 0.590322 0.000000
4121.16 0.334840 0.048814 0.233436 0.000000 0.576543 0.000000
4126.16 0.391933 0.052395 0.237575 0.000000 0.710513 0.000000
4131.17 0.409094 0.050554 0.230837 0.000000 0.758762 0.000000
4136.17 0.338507 0.050544 0.228995 0.000000 0.589856 0.000000
4141.17 0.275202 0.051056 0.228869 0.000000 0.436846 0.000000
4146.17 0.263865 0.048730 0.233134 0.000000 0.405157 0.000000
4151.17 0.305331 0.050604 0.251634 0.000000 0.486963 0.000000
4156.17 0.369146 0.059411 0.270810 0.000000 0.622156 0.000000
4161.17 0.396043 0.068864 0.281824 0.000000 0.676207 0.000000
4166.17 0.323853 0.067384 0.269648 0.000000 0.513755 0.000000
4171.18 0.244881 0.057057 0.247713 0.000000 0.344655 0.000000
4176.18 0.251843 0.051282 0.247713 0.000000 0.361496 0.000000
4181.18 0.326397 0.056901 0.269704 0.000000 0.519853 0.000000
4186.18 0.391720 0.063417 0.279874 0.000000 0.667698 0.000000
4191.18 0.384573 0.064748 0.276836 0.000000 0.653447 0.000000
4196.18 0.334974 0.061385 0.266250 0.000000 0.544054 0.000000
4201.18 0.295052 0.052591 0.249561 0.000000 0.464171 0.000000
4206.18 0.320070 0.053082 0.261807 0.000000 0.512445 0.000000
4211.19 0.338989 0.061101 0.277127 0.000000 0.542889 0.000000
4216.19 0.262150 0.060130 0.254531 0.000000 0.379610 0.000000
4221.19 0.163878 0.050661 0.215366 0.000000 0.181055 0.000000
4226.19 0.105793 0.032499 0.168050 0.000000 0.087864 0.000000
4231.19 0.129489 0.031226 0.169095 0.000000 0.144139 0.000000
4236.19 0.218659 0.039871 0.224861 0.000000 0.304075 0.000000
4241.19 0.310672 0.053807 0.277832 0.000000 0.473685 0.000000
4246.20 0.344182 0.064658 0.296211 0.000000 0.536366 0.000000
4251.20 0.310091 0.057549 0.275065 0.000000 0.475045 0.000000
4256.20 0.266894 0.048845 0.260299 0.000000 0.385319 0.000000
4261.20 0.321063 0.054120 0.276245 0.000000 0.500408 0.000000
4266.20 0.397116 0.062238 0.293229 0.000000 0.667397 0.000000
4271.20 0.314666 0.054216 0.282376 0.000000 0.478803 0.000000
4276.20 0.264018 0.051576 0.269288 0.000000 0.369374 0.000000
4281.20 0.358333 0.058629 0.283279 0.000000 0.583531 0.000000
4286.21 0.365604 0.056044 0.273446 0.000000 0.610951 0.000000
4291.21 0.313733 0.049237 0.257205 0.000000 0.501716 0.000000
4296.21 0.329002 0.052485 0.268493 0.000000 0.527364 0.000000
4301.21 0.324491 0.050052 0.270910 0.000000 0.514034 0.000000
4306.21 0.320465 0.046780 0.274210 0.000000 0.500995 0.000000
4311.21 0.419358 0.049318 0.299608 0.000000 0.714822 0.000000
4316.21 0.469522 0.059973 0.343387 0.000000 0.792390 0.000000
4321.21 0.353334 0.063751 0.367043 0.000000 0.487674 0.000000
4326.22 0.346682 0.065060 0.367296 0.000000 0.471330 0.000000
4331.22 0.492553 0.074130 0.384469 0.000000 0.807018 0.000000
4336.22 0.541998 0.078495 0.392943 0.000000 0.918153 0.000000
4341.22 0.552794 0.066148 0.375500 0.000000 0.961710 0.000000
4346.22 0.608314 0.065815 0.384045 0.000000 1.087470 0.000000
4351.22 0.592067 0.067330 0.393787 0.000000 1.038425 0.000000
4356.22 0.569168 0.064831 0.397987 0.000000 0.978833 0.000000
4361.23 0.644852 0.069037 0.411905 0.000000 1.147995 0.000000
4366.23 0.676227 0.075322 0.424148 0.000000 1.211649 0.000000
4371.23 0.619496 0.075601 0.418338 0.000000 1.080226 0.000000
4376.23 0.563843 0.076078 0.403330 0.000000 0.960610 0.000000
4381.23 0.477291 0.073234 0.388602 0.000000 0.765968 0.000000
4386.23 0.388505 0.061986 0.369620 0.000000 0.570174 0.000000
4391.23 0.493646 0.065190 0.387387 0.000000 0.806745 0.000000
4396.23 0.587355 0.073256 0.406891 0.000000 1.013922 0.000000
4401.24 0.431438 0.071118 0.408395 0.000000 0.635254 0.000000
4406.24 0.345321 0.060474 0.380217 0.000000 0.455115 0.000000
4411.24 0.509973 0.064199 0.389972 0.000000 0.843655 0.000000
4416.24 0.716957 0.075357 0.422078 0.000000 1.312244 0.000000
4421.24 0.753629 0.072074 0.434348 0.000000 1.388683 0.000000
4426.24 0.556159 0.064170 0.423887 0.000000 0.921465 0.000000
4431.24 0.402361 0.058679 0.413250 0.000000 0.560063 0.000000
4436.25 0.412380 0.052757 0.411054 0.000000 0.586494 0.000000
4441.25 0.496565 0.054808 0.431651 0.000000 0.769541 0.000000
4446.25 0.556495 0.065253 0.455135 0.000000 0.891028 0.000000
4451.25 0.535499 0.076284 0.465968 0.000000 0.829406 0.000000
4456.25 0.433867 0.066224 0.430351 0.000000 0.619176 0.000000
4461.25 0.340710 0.052251 0.391971 0.000000 0.432207 0.000000
4466.25 0.349138 0.044369 0.387480 0.000000 0.457085 0.000000
4471.25 0.464586 0.044388 0.409695 0.000000 0.714141 0.000000
4476.26 0.633131 0.054066 0.450091 0.000000 1.081455 0.000000
4481.26 0.733882 0.056810 0.471273 0.000000 1.303991 0.000000
4486.26 0.754147 0.062762 0.487121 0.000000 1.337164 0.000000
4491.26 0.720563 0.066281 0.492007 0.000000 1.251037 0.000000
4496.26 0.647702 0.066265 0.493316 0.000000 1.073478 0.000000
4501.26 0.589937 0.068982 0.503956 0.000000 0.923104 0.000000
4506.26 0.601092 0.062414 0.502706 0.000000 0.951339 0.000000
4511.27 0.597189 0.048982 0.492051 0.000000 0.952551 0.000000
4516.27 0.521726 0.054228 0.496451 0.000000 0.765607 0.000000
4521.27 0.483307 0.066016 0.497110 0.000000 0.672011 0.000000
4526.27 0.464515 0.063522 0.469818 0.000000 0.653846 0.000000
4531.27 0.373158 0.052194 0.439035 0.000000 0.463635 0.000000
4536.27 0.451628 0.056526 0.461554 0.000000 0.630936 0.000000
4541.27 0.705482 0.069503 0.501073 0.000000 1.205490 0.000000
4546.27 0.669796 0.065826 0.504056 0.000000 1.116183 0.000000
4551.28 0.501439 0.051159 0.491539 0.000000 0.721444 0.000000
4556.28 0.564655 0.052431 0.523205 0.000000 0.842698 0.000000
4561.28 0.646702 0.066147 0.575729 0.000000 0.988647 0.000000
4566.28 0.636037 0.072438 0.610538 0.000000 0.928038 0.000000
4571.28 0.628792 0.079793 0.628585 0.000000 0.892465 0.000000
4576.28 0.624349 0.083024 0.624389 0.000000 0.885914 0.000000
4581.28 0.586776 0.073436 0.587422 0.000000 0.831991 0.000000
4586.28 0.493127 0.041929 0.512657 0.000000 0.680220 0.000000
4591.29 0.432198 0.023440 0.461183 0.000000 0.584306 0.000000
4596.29 0.480778 0.022339 0.466506 0.000000 0.696497 0.000000
4601.29 0.542929 0.016047 0.498199 0.000000 0.815148 0.000000
4606.29 0.557682 0.021598 0.541450 0.000000 0.807584 0.000000
4611.29 0.541450 0.043093 0.598602 0.000000 0.711169 0.000000
4616.29 0.577263 0.060194 0.642645 0.000000 0.753757 0.000000
4621.29 0.680020 0.059444 0.633592 0.000000 1.011380 0.000000
4626.30 0.668145 0.029838 0.551528 0.000000 1.064719 0.000000
4631.30 0.532661 0.007918 0.469705 0.000000 0.818803 0.000000
4636.30 0.415283 0.012192 0.439063 0.000000 0.565509 0.000000
4641.30 0.406334 0.018933 0.440578 0.000000 0.542346 0.000000
4646.30 0.479641 0.024733 0.457588 0.000000 0.702665 0.000000
4651.30 0.464395 0.029500 0.491186 0.000000 0.632186 0.000000
4656.30 0.489155 0.038717 0.534876 0.000000 0.648391 0.000000
4661.30 0.700272 0.063627 0.574423 0.000000 1.119539 0.000000
4666.31 0.740115 0.048043 0.537472 0.000000 1.252869 0.000000
4671.31 0.597023 0.019458 0.477404 0.000000 0.966796 0.000000
4676.31 0.585974 0.021781 0.475505 0.000000 0.941969 0.000000
4681.31 0.607275 0.023442 0.495726 0.000000 0.973275 0.000000
