# lk ukf_g5iii uks_g5iii fh fse fl fd fk
# lRMS=0.004043848254 iRMS=0.0002053742355 0
# 
3886.10 0.300428 0.015402 0.300428 0.000000 0.000000 0.000000 0.000000
3891.10 0.360302 0.014956 0.360302 0.000000 0.000000 0.000000 0.000000
3896.10 0.404637 0.026983 0.404637 0.000000 0.000000 0.000000 0.000000
3901.10 0.408056 0.030215 0.408056 0.000000 0.000000 0.000000 0.000000
3906.11 0.404832 0.022281 0.404832 0.000000 0.000000 0.000000 0.000000
3911.11 0.414237 0.017866 0.414237 0.000000 0.000000 0.000000 0.000000
3916.11 0.410964 0.014230 0.410964 0.000000 0.000000 0.000000 0.000000
3921.11 0.374161 0.023536 0.374161 0.000000 0.000000 0.000000 0.000000
3926.11 0.302811 0.029781 0.302811 0.000000 0.000000 0.000000 0.000000
3931.11 0.217556 0.048234 0.217556 0.000000 0.000000 0.000000 0.000000
3936.11 0.182281 0.038427 0.182281 0.000000 0.000000 0.000000 0.000000
3941.12 0.225040 0.018970 0.225040 0.000000 0.000000 0.000000 0.000000
3946.12 0.299202 0.036427 0.299202 0.000000 0.000000 0.000000 0.000000
3951.12 0.371318 0.036417 0.371318 0.000000 0.000000 0.000000 0.000000
3956.12 0.405296 0.034130 0.405296 0.000000 0.000000 0.000000 0.000000
3961.12 0.365575 0.040352 0.365575 0.000000 0.000000 0.000000 0.000000
3966.12 0.261377 0.067782 0.261377 0.000000 0.000000 0.000000 0.000000
3971.12 0.219738 0.064828 0.219738 0.000000 0.000000 0.000000 0.000000
3976.12 0.308014 0.032797 0.308014 0.000000 0.000000 0.000000 0.000000
3981.13 0.427207 0.055301 0.427207 0.000000 0.000000 0.000000 0.000000
3986.13 0.505023 0.046979 0.505023 0.000000 0.000000 0.000000 0.000000
3991.13 0.553658 0.020344 0.553658 0.000000 0.000000 0.000000 0.000000
3996.13 0.578524 0.020953 0.578524 0.000000 0.000000 0.000000 0.000000
4001.13 0.600161 0.013129 0.600161 0.000000 0.000000 0.000000 0.000000
4006.13 0.607764 0.004628 0.607764 0.000000 0.000000 0.000000 0.000000
4011.13 0.624800 0.004354 0.624800 0.000000 0.000000 0.000000 0.000000
4016.13 0.650422 0.012865 0.650422 0.000000 0.000000 0.000000 0.000000
4021.14 0.665298 0.027312 0.665298 0.000000 0.000000 0.000000 0.000000
4026.14 0.661467 0.015769 0.661467 0.000000 0.000000 0.000000 0.000000
4031.14 0.637285 0.024294 0.637285 0.000000 0.000000 0.000000 0.000000
4036.14 0.641491 0.017465 0.641491 0.000000 0.000000 0.000000 0.000000
4041.14 0.646741 0.025720 0.646741 0.000000 0.000000 0.000000 0.000000
4046.14 0.626108 0.034378 0.626108 0.000000 0.000000 0.000000 0.000000
4051.14 0.629736 0.006396 0.629736 0.000000 0.000000 0.000000 0.000000
4056.15 0.611040 0.015342 0.611040 0.000000 0.000000 0.000000 0.000000
4061.15 0.591861 0.021188 0.591861 0.000000 0.000000 0.000000 0.000000
4066.15 0.587827 0.017782 0.587827 0.000000 0.000000 0.000000 0.000000
4071.15 0.597953 0.022036 0.597953 0.000000 0.000000 0.000000 0.000000
4076.15 0.597557 0.016657 0.597557 0.000000 0.000000 0.000000 0.000000
4081.15 0.618827 0.012551 0.618827 0.000000 0.000000 0.000000 0.000000
4086.15 0.673006 0.028523 0.673006 0.000000 0.000000 0.000000 0.000000
4091.15 0.700083 0.031138 0.700083 0.000000 0.000000 0.000000 0.000000
4096.16 0.672582 0.006997 0.672582 0.000000 0.000000 0.000000 0.000000
4101.16 0.638286 0.018209 0.638286 0.000000 0.000000 0.000000 0.000000
4106.16 0.643256 0.007788 0.643256 0.000000 0.000000 0.000000 0.000000
4111.16 0.660798 0.010270 0.660798 0.000000 0.000000 0.000000 0.000000
4116.16 0.667024 0.017647 0.667024 0.000000 0.000000 0.000000 0.000000
4121.16 0.659370 0.018237 0.659370 0.000000 0.000000 0.000000 0.000000
4126.16 0.642211 0.020787 0.642211 0.000000 0.000000 0.000000 0.000000
4131.17 0.620928 0.030234 0.620928 0.000000 0.000000 0.000000 0.000000
4136.17 0.625091 0.014063 0.625091 0.000000 0.000000 0.000000 0.000000
4141.17 0.615778 0.020546 0.615778 0.000000 0.000000 0.000000 0.000000
4146.17 0.592107 0.016786 0.592107 0.000000 0.000000 0.000000 0.000000
4151.17 0.579125 0.014241 0.579125 0.000000 0.000000 0.000000 0.000000
4156.17 0.585123 0.013534 0.585123 0.000000 0.000000 0.000000 0.000000
4161.17 0.608107 0.018584 0.608107 0.000000 0.000000 0.000000 0.000000
4166.17 0.608101 0.007428 0.608101 0.000000 0.000000 0.000000 0.000000
4171.18 0.591241 0.012965 0.591241 0.000000 0.000000 0.000000 0.000000
4176.18 0.563552 0.026916 0.563552 0.000000 0.000000 0.000000 0.000000
4181.18 0.563115 0.026082 0.563115 0.000000 0.000000 0.000000 0.000000
4186.18 0.588199 0.010296 0.588199 0.000000 0.000000 0.000000 0.000000
4191.18 0.601966 0.024564 0.601966 0.000000 0.000000 0.000000 0.000000
4196.18 0.588608 0.032399 0.588608 0.000000 0.000000 0.000000 0.000000
4201.18 0.581228 0.033037 0.581228 0.000000 0.000000 0.000000 0.000000
4206.18 0.611877 0.012742 0.611877 0.000000 0.000000 0.000000 0.000000
4211.19 0.644158 0.012411 0.644158 0.000000 0.000000 0.000000 0.000000
4216.19 0.663012 0.030001 0.663012 0.000000 0.000000 0.000000 0.000000
4221.19 0.679128 0.023870 0.679128 0.000000 0.000000 0.000000 0.000000
4226.19 0.635144 0.049553 0.635144 0.000000 0.000000 0.000000 0.000000
4231.19 0.645538 0.010788 0.645538 0.000000 0.000000 0.000000 0.000000
4236.19 0.656371 0.003871 0.656371 0.000000 0.000000 0.000000 0.000000
4241.19 0.672947 0.016540 0.672947 0.000000 0.000000 0.000000 0.000000
4246.20 0.695216 0.025655 0.695216 0.000000 0.000000 0.000000 0.000000
4251.20 0.691718 0.048201 0.691718 0.000000 0.000000 0.000000 0.000000
4256.20 0.683491 0.046560 0.683491 0.000000 0.000000 0.000000 0.000000
4261.20 0.679722 0.035652 0.679722 0.000000 0.000000 0.000000 0.000000
4266.20 0.691200 0.018105 0.691200 0.000000 0.000000 0.000000 0.000000
4271.20 0.669965 0.061756 0.669965 0.000000 0.000000 0.000000 0.000000
4276.20 0.665881 0.060001 0.665881 0.000000 0.000000 0.000000 0.000000
4281.20 0.669750 0.035855 0.669750 0.000000 0.000000 0.000000 0.000000
4286.21 0.652692 0.045679 0.652692 0.000000 0.000000 0.000000 0.000000
4291.21 0.640769 0.038836 0.640769 0.000000 0.000000 0.000000 0.000000
4296.21 0.611249 0.040446 0.611249 0.000000 0.000000 0.000000 0.000000
4301.21 0.546074 0.063274 0.546074 0.000000 0.000000 0.000000 0.000000
4306.21 0.487646 0.059168 0.487646 0.000000 0.000000 0.000000 0.000000
4311.21 0.502863 0.034935 0.502863 0.000000 0.000000 0.000000 0.000000
4316.21 0.650385 0.053226 0.650385 0.000000 0.000000 0.000000 0.000000
4321.21 0.748469 0.098528 0.748469 0.000000 0.000000 0.000000 0.000000
4326.22 0.741922 0.102266 0.741922 0.000000 0.000000 0.000000 0.000000
4331.22 0.757284 0.026430 0.757284 0.000000 0.000000 0.000000 0.000000
4336.22 0.758540 0.011001 0.758540 0.000000 0.000000 0.000000 0.000000
4341.22 0.742256 0.047395 0.742256 0.000000 0.000000 0.000000 0.000000
4346.22 0.778347 0.029889 0.778347 0.000000 0.000000 0.000000 0.000000
4351.22 0.787072 0.041819 0.787072 0.000000 0.000000 0.000000 0.000000
4356.22 0.794888 0.047374 0.794888 0.000000 0.000000 0.000000 0.000000
4361.23 0.828760 0.023753 0.828760 0.000000 0.000000 0.000000 0.000000
4366.23 0.845194 0.027224 0.845194 0.000000 0.000000 0.000000 0.000000
4371.23 0.823922 0.055665 0.823922 0.000000 0.000000 0.000000 0.000000
4376.23 0.788761 0.054718 0.788761 0.000000 0.000000 0.000000 0.000000
4381.23 0.738935 0.045205 0.738935 0.000000 0.000000 0.000000 0.000000
4386.23 0.685843 0.050471 0.685843 0.000000 0.000000 0.000000 0.000000
4391.23 0.702908 0.012014 0.702908 0.000000 0.000000 0.000000 0.000000
4396.23 0.746523 0.017394 0.746523 0.000000 0.000000 0.000000 0.000000
4401.24 0.772438 0.032853 0.772438 0.000000 0.000000 0.000000 0.000000
4406.24 0.763135 0.036697 0.763135 0.000000 0.000000 0.000000 0.000000
4411.24 0.788147 0.012244 0.788147 0.000000 0.000000 0.000000 0.000000
4416.24 0.809854 0.012203 0.809854 0.000000 0.000000 0.000000 0.000000
4421.24 0.827589 0.019580 0.827589 0.000000 0.000000 0.000000 0.000000
