# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
4396.23 0.730765 0.010233 0.730765 0.000000 0.000000
4401.24 0.743597 0.026438 0.743597 0.000000 0.000000
4406.24 0.767049 0.040417 0.767049 0.000000 0.000000
4411.24 0.802243 0.031048 0.802243 0.000000 0.000000
4416.24 0.795357 0.048885 0.795357 0.000000 0.000000
4421.24 0.795773 0.046401 0.795773 0.000000 0.000000
4426.24 0.808113 0.032904 0.808113 0.000000 0.000000
4431.24 0.815705 0.036990 0.815705 0.000000 0.000000
4436.25 0.820837 0.053886 0.820837 0.000000 0.000000
4441.25 0.834550 0.057851 0.834550 0.000000 0.000000
4446.25 0.854214 0.038067 0.854214 0.000000 0.000000
4451.25 0.852544 0.022489 0.852544 0.000000 0.000000
4456.25 0.828625 0.024944 0.828625 0.000000 0.000000
4461.25 0.816955 0.027409 0.816955 0.000000 0.000000
4466.25 0.830057 0.028866 0.830057 0.000000 0.000000
4471.25 0.848682 0.045437 0.848682 0.000000 0.000000
4476.26 0.882408 0.046731 0.882408 0.000000 0.000000
4481.26 0.909502 0.036685 0.909502 0.000000 0.000000
4486.26 0.916211 0.025073 0.916211 0.000000 0.000000
4491.26 0.908045 0.019097 0.908045 0.000000 0.000000
4496.26 0.901045 0.022946 0.901045 0.000000 0.000000
4501.26 0.908233 0.034135 0.908233 0.000000 0.000000
4506.26 0.930357 0.042398 0.930357 0.000000 0.000000
4511.27 0.958534 0.033677 0.958534 0.000000 0.000000
4516.27 0.965181 0.018436 0.965181 0.000000 0.000000
4521.27 0.945758 0.001814 0.945758 0.000000 0.000000
4526.27 0.919518 0.015394 0.919518 0.000000 0.000000
4531.27 0.896549 0.015957 0.896549 0.000000 0.000000
4536.27 0.877465 0.012697 0.877465 0.000000 0.000000
4541.27 0.892770 0.027702 0.892770 0.000000 0.000000
4546.27 0.923189 0.027550 0.923189 0.000000 0.000000
4551.28 0.929484 0.037351 0.929484 0.000000 0.000000
4556.28 0.923463 0.044036 0.923463 0.000000 0.000000
4561.28 0.933937 0.031142 0.933937 0.000000 0.000000
4566.28 0.926141 0.051199 0.926141 0.000000 0.000000
4571.28 0.955064 0.044213 0.955064 0.000000 0.000000
4576.28 0.981467 0.038970 0.981467 0.000000 0.000000
4581.28 0.972771 0.053735 0.972771 0.000000 0.000000
4586.28 0.952876 0.055635 0.952876 0.000000 0.000000
4591.29 0.942388 0.032249 0.942388 0.000000 0.000000
4596.29 0.933923 0.011460 0.933923 0.000000 0.000000
4601.29 0.929134 0.007943 0.929134 0.000000 0.000000
4606.29 0.932284 0.021395 0.932284 0.000000 0.000000
4611.29 0.953198 0.032407 0.953198 0.000000 0.000000
4616.29 0.985938 0.031750 0.985938 0.000000 0.000000
4621.29 1.012200 0.024796 1.012200 0.000000 0.000000
4626.30 1.031403 0.004427 1.031403 0.000000 0.000000
4631.30 1.007332 0.011651 1.007332 0.000000 0.000000
4636.30 0.983361 0.007811 0.983361 0.000000 0.000000
4641.30 0.973713 0.010110 0.973713 0.000000 0.000000
4646.30 0.957509 0.008954 0.957509 0.000000 0.000000
4651.30 0.942374 0.005402 0.942374 0.000000 0.000000
4656.30 0.939693 0.014270 0.939693 0.000000 0.000000
4661.30 0.946792 0.010988 0.946792 0.000000 0.000000
4666.31 0.951777 0.003187 0.951777 0.000000 0.000000
4671.31 0.951192 0.002634 0.951192 0.000000 0.000000
4676.31 0.950884 0.004784 0.950884 0.000000 0.000000
