# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
4081.15 0.770474 0.027312 0.770474 0.000000 0.000000
4086.15 0.826985 0.026212 0.826985 0.000000 0.000000
4091.15 0.843695 0.026887 0.843695 0.000000 0.000000
4096.16 0.798549 0.034556 0.798549 0.000000 0.000000
4101.16 0.747924 0.038936 0.747924 0.000000 0.000000
4106.16 0.753742 0.011937 0.753742 0.000000 0.000000
4111.16 0.791402 0.018504 0.791402 0.000000 0.000000
4116.16 0.819479 0.028729 0.819479 0.000000 0.000000
4121.16 0.826524 0.028058 0.826524 0.000000 0.000000
4126.16 0.815837 0.020707 0.815837 0.000000 0.000000
4131.17 0.789901 0.027795 0.789901 0.000000 0.000000
4136.17 0.790723 0.022686 0.790723 0.000000 0.000000
4141.17 0.786145 0.030401 0.786145 0.000000 0.000000
4146.17 0.773821 0.028769 0.773821 0.000000 0.000000
4151.17 0.766221 0.025387 0.766221 0.000000 0.000000
4156.17 0.765650 0.023475 0.765650 0.000000 0.000000
4161.17 0.790295 0.020999 0.790295 0.000000 0.000000
4166.17 0.801705 0.027200 0.801705 0.000000 0.000000
4171.18 0.779529 0.037747 0.779529 0.000000 0.000000
4176.18 0.755324 0.031634 0.755324 0.000000 0.000000
4181.18 0.748163 0.023150 0.748163 0.000000 0.000000
4186.18 0.753905 0.018828 0.753905 0.000000 0.000000
4191.18 0.764698 0.026555 0.764698 0.000000 0.000000
4196.18 0.744594 0.021208 0.744594 0.000000 0.000000
4201.18 0.736227 0.020111 0.736227 0.000000 0.000000
4206.18 0.784201 0.007482 0.784201 0.000000 0.000000
4211.19 0.826045 0.022228 0.826045 0.000000 0.000000
4216.19 0.833795 0.043794 0.833795 0.000000 0.000000
4221.19 0.816613 0.050879 0.816613 0.000000 0.000000
4226.19 0.755597 0.075019 0.755597 0.000000 0.000000
4231.19 0.751010 0.029630 0.751010 0.000000 0.000000
4236.19 0.760519 0.025244 0.760519 0.000000 0.000000
4241.19 0.788328 0.025820 0.788328 0.000000 0.000000
4246.20 0.803269 0.029878 0.803269 0.000000 0.000000
4251.20 0.792271 0.049962 0.792271 0.000000 0.000000
4256.20 0.788541 0.047367 0.788541 0.000000 0.000000
4261.20 0.786760 0.039441 0.786760 0.000000 0.000000
4266.20 0.793388 0.019804 0.793388 0.000000 0.000000
4271.20 0.762595 0.055242 0.762595 0.000000 0.000000
4276.20 0.762595 0.044080 0.762595 0.000000 0.000000
4281.20 0.775828 0.024673 0.775828 0.000000 0.000000
4286.21 0.763806 0.042177 0.763806 0.000000 0.000000
