# lk ukf_o5v uks_o5v fh fse fl
# lRMS=0.0004083506647 iRMS=0.0004083506938 0
# 
4521.27 2.280267 0.022189 2.280267 0.000000 0.000000
4526.27 2.261416 0.010529 2.261416 0.000000 0.000000
4531.27 2.233078 0.004367 2.233078 0.000000 0.000000
4536.27 2.172098 0.008279 2.172098 0.000000 0.000000
4541.27 2.108621 0.025124 2.108621 0.000000 0.000000
4546.27 2.151205 0.020088 2.151205 0.000000 0.000000
4551.28 2.194848 0.012207 2.194848 0.000000 0.000000
4556.28 2.207146 0.005063 2.207146 0.000000 0.000000
4561.28 2.209116 0.003538 2.209116 0.000000 0.000000
4566.28 2.196997 0.005349 2.196997 0.000000 0.000000
4571.28 2.181215 0.006641 2.181215 0.000000 0.000000
4576.28 2.169757 0.011215 2.169757 0.000000 0.000000
4581.28 2.171879 0.020630 2.171879 0.000000 0.000000
4586.28 2.158612 0.016612 2.158612 0.000000 0.000000
4591.29 2.134382 0.006905 2.134382 0.000000 0.000000
4596.29 2.123401 0.010836 2.123401 0.000000 0.000000
4601.29 2.116204 0.010973 2.116204 0.000000 0.000000
4606.29 2.108387 0.010529 2.108387 0.000000 0.000000
4611.29 2.113212 0.019301 2.113212 0.000000 0.000000
4616.29 2.113685 0.020412 2.113685 0.000000 0.000000
4621.29 2.102574 0.025547 2.102574 0.000000 0.000000
4626.30 2.084434 0.018927 2.084434 0.000000 0.000000
4631.30 2.083315 0.010836 2.083315 0.000000 0.000000
4636.30 2.082672 0.016504 2.082672 0.000000 0.000000
4641.30 2.088073 0.021409 2.088073 0.000000 0.000000
4646.30 2.073948 0.034127 2.073948 0.000000 0.000000
4651.30 2.051712 0.037506 2.051712 0.000000 0.000000
4656.30 2.037895 0.046064 2.037895 0.000000 0.000000
4661.30 2.044002 0.055054 2.044002 0.000000 0.000000
4666.31 2.040011 0.063814 2.040011 0.000000 0.000000
4671.31 2.018997 0.063256 2.018997 0.000000 0.000000
4676.31 1.993647 0.061140 1.993647 0.000000 0.000000
4681.31 1.916061 0.053819 1.916061 0.000000 0.000000
4686.31 1.859749 0.044384 1.859749 0.000000 0.000000
4691.31 1.915028 0.045961 1.915028 0.000000 0.000000
4696.31 1.963758 0.061398 1.963758 0.000000 0.000000
4701.32 1.958291 0.061349 1.958291 0.000000 0.000000
4706.32 1.949402 0.065746 1.949402 0.000000 0.000000
4711.32 1.917382 0.057430 1.917382 0.000000 0.000000
4716.32 1.899787 0.046406 1.899787 0.000000 0.000000
4721.32 1.889676 0.045606 1.889676 0.000000 0.000000
4726.32 1.871239 0.053237 1.871239 0.000000 0.000000
4731.32 1.874872 0.065580 1.874872 0.000000 0.000000
4736.32 1.869085 0.053441 1.869085 0.000000 0.000000
4741.33 1.864865 0.061463 1.864865 0.000000 0.000000
4746.33 1.862967 0.073605 1.862967 0.000000 0.000000
4751.33 1.848031 0.070708 1.848031 0.000000 0.000000
4756.33 1.824786 0.068239 1.824786 0.000000 0.000000
4761.33 1.803741 0.058711 1.803741 0.000000 0.000000
4766.33 1.800319 0.063512 1.800319 0.000000 0.000000
4771.33 1.808924 0.067788 1.808924 0.000000 0.000000
4776.34 1.798452 0.066827 1.798452 0.000000 0.000000
4781.34 1.784757 0.062818 1.784757 0.000000 0.000000
4786.34 1.784232 0.066180 1.784232 0.000000 0.000000
4791.34 1.780136 0.057965 1.780136 0.000000 0.000000
4796.34 1.766839 0.056517 1.766839 0.000000 0.000000
4801.34 1.754507 0.056012 1.754507 0.000000 0.000000
4806.34 1.750172 0.046592 1.750172 0.000000 0.000000
4811.34 1.745331 0.053700 1.745331 0.000000 0.000000
4816.35 1.737823 0.058234 1.737823 0.000000 0.000000
