# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
4266.20 0.683359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4271.20 0.645769 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4276.20 0.653087 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4281.20 0.693965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4286.21 0.691072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4291.21 0.652215 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4296.21 0.602720 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4301.21 0.537330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4306.21 0.485312 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4311.21 0.528293 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4316.21 0.691321 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4321.21 0.813778 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4326.22 0.807094 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4331.22 0.787603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4336.22 0.784593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4341.22 0.778907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4346.22 0.802881 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4351.22 0.829592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4356.22 0.847142 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4361.23 0.874783 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4366.23 0.887147 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4371.23 0.856077 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4376.23 0.788846 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4381.23 0.716164 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4386.23 0.683597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4391.23 0.722086 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4396.23 0.787861 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4401.24 0.812150 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
