# lk ukf_k4iii uks_k4iii fh fse fl fd
# iRMS=0.0005858743098 0
# 
4441.25 0.475594 0.000000 0.475594 0.000000 0.000000 0.000000
4446.25 0.489358 0.000000 0.489358 0.000000 0.000000 0.000000
4451.25 0.494031 0.000000 0.494031 0.000000 0.000000 0.000000
4456.25 0.445573 0.000000 0.445573 0.000000 0.000000 0.000000
4461.25 0.425227 0.000000 0.425227 0.000000 0.000000 0.000000
4466.25 0.469082 0.000000 0.469082 0.000000 0.000000 0.000000
4471.25 0.507244 0.000000 0.507244 0.000000 0.000000 0.000000
4476.26 0.558128 0.000000 0.558128 0.000000 0.000000 0.000000
4481.26 0.553234 0.000000 0.553234 0.000000 0.000000 0.000000
4486.26 0.573815 0.000000 0.573815 0.000000 0.000000 0.000000
4491.26 0.536892 0.000000 0.536892 0.000000 0.000000 0.000000
4496.26 0.522703 0.000000 0.522703 0.000000 0.000000 0.000000
4501.26 0.602800 0.000000 0.602800 0.000000 0.000000 0.000000
4506.26 0.644100 0.000000 0.644100 0.000000 0.000000 0.000000
4511.27 0.614770 0.000000 0.614770 0.000000 0.000000 0.000000
4516.27 0.588108 0.000000 0.588108 0.000000 0.000000 0.000000
4521.27 0.586853 0.000000 0.586853 0.000000 0.000000 0.000000
4526.27 0.524109 0.000000 0.524109 0.000000 0.000000 0.000000
4531.27 0.487650 0.000000 0.487650 0.000000 0.000000 0.000000
4536.27 0.537512 0.000000 0.537512 0.000000 0.000000 0.000000
4541.27 0.556439 0.000000 0.556439 0.000000 0.000000 0.000000
4546.27 0.555093 0.000000 0.555093 0.000000 0.000000 0.000000
4551.28 0.563853 0.000000 0.563853 0.000000 0.000000 0.000000
4556.28 0.600682 0.000000 0.600682 0.000000 0.000000 0.000000
4561.28 0.625140 0.000000 0.625140 0.000000 0.000000 0.000000
4566.28 0.623319 0.000000 0.623319 0.000000 0.000000 0.000000
4571.28 0.627602 0.000000 0.627602 0.000000 0.000000 0.000000
4576.28 0.625174 0.000000 0.625174 0.000000 0.000000 0.000000
4581.28 0.591054 0.000000 0.591054 0.000000 0.000000 0.000000
4586.28 0.611791 0.000000 0.611791 0.000000 0.000000 0.000000
4591.29 0.615500 0.000000 0.615500 0.000000 0.000000 0.000000
