# lk ukf_k1iv uks_k1iv fh fse fl
# iRMS=0.0001062268711 0
# 
4886.36 0.926451 0.000000 0.926451 0.000000 0.000000
4891.37 0.938833 0.000000 0.938833 0.000000 0.000000
4896.37 0.955112 0.000000 0.955112 0.000000 0.000000
4901.37 0.960023 0.000000 0.960023 0.000000 0.000000
4906.37 0.942688 0.000000 0.942688 0.000000 0.000000
4911.37 0.921912 0.000000 0.921912 0.000000 0.000000
4916.37 0.917495 0.000000 0.917495 0.000000 0.000000
4921.37 0.923544 0.000000 0.923544 0.000000 0.000000
4926.37 0.930295 0.000000 0.930295 0.000000 0.000000
4931.38 0.938178 0.000000 0.938178 0.000000 0.000000
4936.38 0.948775 0.000000 0.948775 0.000000 0.000000
4941.38 0.958076 0.000000 0.958076 0.000000 0.000000
4946.38 0.961846 0.000000 0.961846 0.000000 0.000000
4951.38 0.960543 0.000000 0.960543 0.000000 0.000000
4956.38 0.955636 0.000000 0.955636 0.000000 0.000000
4961.38 0.947926 0.000000 0.947926 0.000000 0.000000
4966.39 0.938603 0.000000 0.938603 0.000000 0.000000
4971.39 0.931066 0.000000 0.931066 0.000000 0.000000
4976.39 0.927871 0.000000 0.927871 0.000000 0.000000
4981.39 0.926002 0.000000 0.926002 0.000000 0.000000
4986.39 0.922160 0.000000 0.922160 0.000000 0.000000
4991.39 0.917486 0.000000 0.917486 0.000000 0.000000
4996.39 0.912726 0.000000 0.912726 0.000000 0.000000
5001.39 0.902595 0.000000 0.902595 0.000000 0.000000
5006.40 0.884347 0.000000 0.884347 0.000000 0.000000
5011.40 0.871431 0.000000 0.871431 0.000000 0.000000
5016.40 0.876273 0.000000 0.876273 0.000000 0.000000
5021.40 0.891035 0.000000 0.891035 0.000000 0.000000
5026.40 0.904237 0.000000 0.904237 0.000000 0.000000
5031.40 0.910106 0.000000 0.910106 0.000000 0.000000
5036.40 0.907280 0.000000 0.907280 0.000000 0.000000
5041.41 0.906331 0.000000 0.906331 0.000000 0.000000
5046.41 0.916232 0.000000 0.916232 0.000000 0.000000
5051.41 0.927630 0.000000 0.927630 0.000000 0.000000
5056.41 0.929011 0.000000 0.929011 0.000000 0.000000
5061.41 0.918541 0.000000 0.918541 0.000000 0.000000
5066.41 0.899390 0.000000 0.899390 0.000000 0.000000
5071.41 0.885052 0.000000 0.885052 0.000000 0.000000
5076.41 0.887075 0.000000 0.887075 0.000000 0.000000
5081.42 0.898882 0.000000 0.898882 0.000000 0.000000
5086.42 0.909631 0.000000 0.909631 0.000000 0.000000
5091.42 0.909542 0.000000 0.909542 0.000000 0.000000
5096.42 0.894497 0.000000 0.894497 0.000000 0.000000
5101.42 0.881951 0.000000 0.881951 0.000000 0.000000
5106.42 0.887596 0.000000 0.887596 0.000000 0.000000
5111.42 0.898481 0.000000 0.898481 0.000000 0.000000
5116.43 0.899036 0.000000 0.899036 0.000000 0.000000
5121.43 0.891836 0.000000 0.891836 0.000000 0.000000
5126.43 0.883055 0.000000 0.883055 0.000000 0.000000
5131.43 0.875088 0.000000 0.875088 0.000000 0.000000
5136.43 0.869915 0.000000 0.869915 0.000000 0.000000
5141.43 0.871620 0.000000 0.871620 0.000000 0.000000
5146.43 0.880721 0.000000 0.880721 0.000000 0.000000
5151.43 0.881373 0.000000 0.881373 0.000000 0.000000
5156.44 0.860016 0.000000 0.860016 0.000000 0.000000
5161.44 0.828584 0.000000 0.828584 0.000000 0.000000
5166.44 0.803904 0.000000 0.803904 0.000000 0.000000
5171.44 0.796875 0.000000 0.796875 0.000000 0.000000
5176.44 0.812661 0.000000 0.812661 0.000000 0.000000
5181.44 0.839405 0.000000 0.839405 0.000000 0.000000
5186.44 0.863168 0.000000 0.863168 0.000000 0.000000
5191.45 0.878693 0.000000 0.878693 0.000000 0.000000
5196.45 0.884379 0.000000 0.884379 0.000000 0.000000
5201.45 0.884552 0.000000 0.884552 0.000000 0.000000
5206.45 0.884206 0.000000 0.884206 0.000000 0.000000
5211.45 0.885064 0.000000 0.885064 0.000000 0.000000
5216.45 0.887628 0.000000 0.887628 0.000000 0.000000
5221.45 0.890788 0.000000 0.890788 0.000000 0.000000
5226.45 0.893685 0.000000 0.893685 0.000000 0.000000
5231.46 0.898088 0.000000 0.898088 0.000000 0.000000
5236.46 0.905609 0.000000 0.905609 0.000000 0.000000
5241.46 0.914635 0.000000 0.914635 0.000000 0.000000
5246.46 0.921209 0.000000 0.921209 0.000000 0.000000
5251.46 0.915223 0.000000 0.915223 0.000000 0.000000
5256.46 0.890668 0.000000 0.890668 0.000000 0.000000
5261.46 0.864056 0.000000 0.864056 0.000000 0.000000
5266.47 0.854817 0.000000 0.854817 0.000000 0.000000
5271.47 0.871538 0.000000 0.871538 0.000000 0.000000
5276.47 0.912863 0.000000 0.912863 0.000000 0.000000
5281.47 0.948516 0.000000 0.948516 0.000000 0.000000
5286.47 0.952162 0.000000 0.952162 0.000000 0.000000
5291.47 0.942158 0.000000 0.942158 0.000000 0.000000
