# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
3911.11 0.211331 0.043838 0.211331 0.000000 0.000000
3916.11 0.204662 0.033733 0.204662 0.000000 0.000000
3921.11 0.177277 0.022818 0.177277 0.000000 0.000000
3926.11 0.144776 0.024623 0.144776 0.000000 0.000000
3931.11 0.111105 0.024798 0.111105 0.000000 0.000000
3936.11 0.105264 0.027605 0.105264 0.000000 0.000000
3941.12 0.127185 0.033310 0.127185 0.000000 0.000000
3946.12 0.165390 0.039308 0.165390 0.000000 0.000000
3951.12 0.201447 0.047126 0.201447 0.000000 0.000000
3956.12 0.194144 0.029272 0.194144 0.000000 0.000000
3961.12 0.159339 0.019436 0.159339 0.000000 0.000000
3966.12 0.131811 0.016226 0.131811 0.000000 0.000000
3971.12 0.137228 0.023334 0.137228 0.000000 0.000000
3976.12 0.187436 0.058510 0.187436 0.000000 0.000000
3981.13 0.244527 0.070140 0.244527 0.000000 0.000000
3986.13 0.290667 0.066206 0.290667 0.000000 0.000000
3991.13 0.320301 0.063387 0.320301 0.000000 0.000000
3996.13 0.327537 0.061121 0.327537 0.000000 0.000000
4001.13 0.332738 0.073835 0.332738 0.000000 0.000000
4006.13 0.337059 0.079404 0.337059 0.000000 0.000000
4011.13 0.358581 0.084624 0.358581 0.000000 0.000000
4016.13 0.382484 0.071112 0.382484 0.000000 0.000000
4021.14 0.404054 0.058074 0.404054 0.000000 0.000000
4026.14 0.402782 0.044848 0.402782 0.000000 0.000000
4031.14 0.369835 0.019120 0.369835 0.000000 0.000000
4036.14 0.369637 0.049702 0.369637 0.000000 0.000000
4041.14 0.356331 0.060626 0.356331 0.000000 0.000000
4046.14 0.332190 0.040814 0.332190 0.000000 0.000000
4051.14 0.367211 0.078898 0.367211 0.000000 0.000000
4056.15 0.379491 0.053802 0.379491 0.000000 0.000000
4061.15 0.373158 0.023706 0.373158 0.000000 0.000000
4066.15 0.363528 0.032525 0.363528 0.000000 0.000000
4071.15 0.350902 0.053704 0.350902 0.000000 0.000000
4076.15 0.361989 0.070658 0.361989 0.000000 0.000000
4081.15 0.411177 0.090555 0.411177 0.000000 0.000000
4086.15 0.474857 0.097996 0.474857 0.000000 0.000000
4091.15 0.500929 0.074067 0.500929 0.000000 0.000000
4096.16 0.465110 0.026588 0.465110 0.000000 0.000000
4101.16 0.428033 0.021451 0.428033 0.000000 0.000000
4106.16 0.428370 0.051732 0.428370 0.000000 0.000000
4111.16 0.435738 0.063072 0.435738 0.000000 0.000000
4116.16 0.451107 0.069693 0.451107 0.000000 0.000000
4121.16 0.458937 0.063042 0.458937 0.000000 0.000000
4126.16 0.453522 0.054388 0.453522 0.000000 0.000000
4131.17 0.428006 0.038167 0.428006 0.000000 0.000000
4136.17 0.428856 0.062719 0.428856 0.000000 0.000000
4141.17 0.409115 0.053157 0.409115 0.000000 0.000000
4146.17 0.403565 0.043132 0.403565 0.000000 0.000000
4151.17 0.426469 0.056629 0.426469 0.000000 0.000000
4156.17 0.457138 0.053573 0.457138 0.000000 0.000000
4161.17 0.484897 0.060206 0.484897 0.000000 0.000000
4166.17 0.471454 0.047636 0.471454 0.000000 0.000000
4171.18 0.443102 0.029170 0.443102 0.000000 0.000000
4176.18 0.442314 0.035445 0.442314 0.000000 0.000000
4181.18 0.453273 0.044645 0.453273 0.000000 0.000000
4186.18 0.451191 0.028594 0.451191 0.000000 0.000000
4191.18 0.456983 0.042002 0.456983 0.000000 0.000000
4196.18 0.432604 0.034643 0.432604 0.000000 0.000000
4201.18 0.416074 0.024179 0.416074 0.000000 0.000000
4206.18 0.456301 0.048381 0.456301 0.000000 0.000000
4211.19 0.489434 0.056722 0.489434 0.000000 0.000000
4216.19 0.477641 0.044332 0.477641 0.000000 0.000000
4221.19 0.409254 0.017041 0.409254 0.000000 0.000000
4226.19 0.303164 0.034210 0.303164 0.000000 0.000000
4231.19 0.293717 0.058808 0.293717 0.000000 0.000000
4236.19 0.346149 0.070865 0.346149 0.000000 0.000000
4241.19 0.423305 0.071791 0.423305 0.000000 0.000000
4246.20 0.455096 0.045561 0.455096 0.000000 0.000000
4251.20 0.427862 0.010315 0.427862 0.000000 0.000000
4256.20 0.411770 0.028441 0.411770 0.000000 0.000000
4261.20 0.410489 0.053821 0.410489 0.000000 0.000000
4266.20 0.427136 0.056045 0.427136 0.000000 0.000000
4271.20 0.412559 0.014587 0.412559 0.000000 0.000000
4276.20 0.431526 0.006073 0.431526 0.000000 0.000000
4281.20 0.445950 0.042799 0.445950 0.000000 0.000000
4286.21 0.430537 0.036891 0.430537 0.000000 0.000000
4291.21 0.409628 0.015947 0.409628 0.000000 0.000000
4296.21 0.404053 0.022735 0.404053 0.000000 0.000000
4301.21 0.384734 0.012968 0.384734 0.000000 0.000000
4306.21 0.373317 0.014938 0.373317 0.000000 0.000000
4311.21 0.415495 0.038029 0.415495 0.000000 0.000000
4316.21 0.517684 0.053742 0.517684 0.000000 0.000000
4321.21 0.568638 0.035135 0.568638 0.000000 0.000000
4326.22 0.556110 0.007930 0.556110 0.000000 0.000000
4331.22 0.578561 0.066186 0.578561 0.000000 0.000000
4336.22 0.588991 0.056084 0.588991 0.000000 0.000000
4341.22 0.603050 0.021500 0.603050 0.000000 0.000000
4346.22 0.637842 0.042916 0.637842 0.000000 0.000000
4351.22 0.631566 0.018537 0.631566 0.000000 0.000000
4356.22 0.640366 0.026812 0.640366 0.000000 0.000000
4361.23 0.663655 0.050496 0.663655 0.000000 0.000000
4366.23 0.672100 0.048205 0.672100 0.000000 0.000000
4371.23 0.649551 0.032583 0.649551 0.000000 0.000000
4376.23 0.605625 0.020087 0.605625 0.000000 0.000000
4381.23 0.537947 0.014597 0.537947 0.000000 0.000000
4386.23 0.510850 0.035203 0.510850 0.000000 0.000000
4391.23 0.548223 0.069902 0.548223 0.000000 0.000000
4396.23 0.604621 0.062633 0.604621 0.000000 0.000000
4401.24 0.614633 0.036073 0.614633 0.000000 0.000000
4406.24 0.586151 0.014963 0.586151 0.000000 0.000000
4411.24 0.604662 0.065122 0.604662 0.000000 0.000000
4416.24 0.623440 0.047854 0.623440 0.000000 0.000000
