# lk ukf_a0v uks_a0v fh fl fc
# iRMS=4.188829189e-05 0
# 
4876.36 1.085515 0.044061 1.085515 0.000000 0.000000
4881.36 1.199023 0.012675 1.199023 0.000000 0.000000
4886.36 1.274462 0.017655 1.274462 0.000000 0.000000
4891.37 1.326849 0.025813 1.326849 0.000000 0.000000
4896.37 1.360454 0.023753 1.360454 0.000000 0.000000
4901.37 1.370639 0.014506 1.370639 0.000000 0.000000
4906.37 1.381424 0.015110 1.381424 0.000000 0.000000
4911.37 1.390310 0.018850 1.390310 0.000000 0.000000
4916.37 1.387375 0.025105 1.387375 0.000000 0.000000
4921.37 1.369356 0.029106 1.369356 0.000000 0.000000
4926.37 1.371291 0.017817 1.371291 0.000000 0.000000
4931.38 1.380753 0.025111 1.380753 0.000000 0.000000
4936.38 1.375868 0.018598 1.375868 0.000000 0.000000
4941.38 1.389200 0.018378 1.389200 0.000000 0.000000
4946.38 1.403090 0.019631 1.403090 0.000000 0.000000
4951.38 1.396418 0.016919 1.396418 0.000000 0.000000
4956.38 1.380802 0.020142 1.380802 0.000000 0.000000
4961.38 1.387028 0.020891 1.387028 0.000000 0.000000
4966.39 1.393493 0.020480 1.393493 0.000000 0.000000
4971.39 1.393398 0.023028 1.393398 0.000000 0.000000
4976.39 1.393729 0.024669 1.393729 0.000000 0.000000
4981.39 1.373950 0.028871 1.373950 0.000000 0.000000
4986.39 1.358311 0.024180 1.358311 0.000000 0.000000
4991.39 1.362219 0.029027 1.362219 0.000000 0.000000
4996.39 1.351835 0.024233 1.351835 0.000000 0.000000
5001.39 1.336844 0.013695 1.336844 0.000000 0.000000
5006.40 1.337480 0.021318 1.337480 0.000000 0.000000
5011.40 1.334718 0.021180 1.334718 0.000000 0.000000
5016.40 1.315520 0.027373 1.315520 0.000000 0.000000
5021.40 1.311738 0.024573 1.311738 0.000000 0.000000
5026.40 1.328276 0.018432 1.328276 0.000000 0.000000
5031.40 1.326832 0.014595 1.326832 0.000000 0.000000
5036.40 1.324649 0.021116 1.324649 0.000000 0.000000
5041.41 1.320409 0.022769 1.320409 0.000000 0.000000
5046.41 1.320525 0.021415 1.320525 0.000000 0.000000
5051.41 1.311644 0.016259 1.311644 0.000000 0.000000
5056.41 1.308595 0.016569 1.308595 0.000000 0.000000
5061.41 1.315903 0.020661 1.315903 0.000000 0.000000
5066.41 1.307889 0.014278 1.307889 0.000000 0.000000
5071.41 1.308864 0.022414 1.308864 0.000000 0.000000
5076.41 1.299827 0.021529 1.299827 0.000000 0.000000
5081.42 1.294157 0.023650 1.294157 0.000000 0.000000
5086.42 1.303408 0.024584 1.303408 0.000000 0.000000
5091.42 1.306235 0.023900 1.306235 0.000000 0.000000
5096.42 1.295048 0.023376 1.295048 0.000000 0.000000
5101.42 1.286553 0.025008 1.286553 0.000000 0.000000
5106.42 1.291311 0.021103 1.291311 0.000000 0.000000
5111.42 1.292820 0.020046 1.292820 0.000000 0.000000
5116.43 1.300972 0.027253 1.300972 0.000000 0.000000
5121.43 1.292756 0.027493 1.292756 0.000000 0.000000
5126.43 1.278494 0.033498 1.278494 0.000000 0.000000
5131.43 1.275868 0.033962 1.275868 0.000000 0.000000
5136.43 1.271073 0.033996 1.271073 0.000000 0.000000
5141.43 1.263027 0.031838 1.263027 0.000000 0.000000
5146.43 1.260117 0.027863 1.260117 0.000000 0.000000
5151.43 1.252581 0.023571 1.252581 0.000000 0.000000
5156.44 1.242483 0.019499 1.242483 0.000000 0.000000
5161.44 1.234197 0.017615 1.234197 0.000000 0.000000
5166.44 1.203999 0.025907 1.203999 0.000000 0.000000
5171.44 1.188146 0.025482 1.188146 0.000000 0.000000
5176.44 1.207414 0.017196 1.207414 0.000000 0.000000
5181.44 1.208427 0.010226 1.208427 0.000000 0.000000
5186.44 1.198629 0.022860 1.198629 0.000000 0.000000
5191.45 1.203530 0.024813 1.203530 0.000000 0.000000
5196.45 1.203652 0.019488 1.203652 0.000000 0.000000
5201.45 1.192720 0.009709 1.192720 0.000000 0.000000
5206.45 1.181677 0.005736 1.181677 0.000000 0.000000
5211.45 1.187004 0.012267 1.187004 0.000000 0.000000
5216.45 1.196549 0.010042 1.196549 0.000000 0.000000
5221.45 1.201535 0.017447 1.201535 0.000000 0.000000
5226.45 1.189719 0.038318 1.189719 0.000000 0.000000
5231.46 1.182821 0.042993 1.182821 0.000000 0.000000
5236.46 1.181218 0.030982 1.181218 0.000000 0.000000
5241.46 1.178149 0.014673 1.178149 0.000000 0.000000
5246.46 1.178211 0.007116 1.178211 0.000000 0.000000
5251.46 1.173713 0.013113 1.173713 0.000000 0.000000
5256.46 1.176514 0.015086 1.176514 0.000000 0.000000
5261.46 1.165546 0.020135 1.165546 0.000000 0.000000
5266.47 1.138234 0.023413 1.138234 0.000000 0.000000
5271.47 1.125457 0.015428 1.125457 0.000000 0.000000
5276.47 1.125626 0.007176 1.125626 0.000000 0.000000
5281.47 1.131924 0.007612 1.131924 0.000000 0.000000
5286.47 1.144124 0.014197 1.144124 0.000000 0.000000
5291.47 1.157735 0.014298 1.157735 0.000000 0.000000
5296.47 1.160639 0.013053 1.160639 0.000000 0.000000
