# lk ukf_b8i uks_b8i fh fl fse
# iRMS=3.217178892e-05 0
# 
4986.39 1.406381 0.000000 1.406381 0.000000 0.000000
4991.39 1.417839 0.000000 1.417839 0.000000 0.000000
4996.39 1.403407 0.000000 1.403407 0.000000 0.000000
5001.39 1.422799 0.000000 1.422799 0.000000 0.000000
5006.40 1.391142 0.000000 1.391142 0.000000 0.000000
5011.40 1.362613 0.000000 1.362613 0.000000 0.000000
5016.40 1.320494 0.000000 1.320494 0.000000 0.000000
5021.40 1.309799 0.000000 1.309799 0.000000 0.000000
5026.40 1.348535 0.000000 1.348535 0.000000 0.000000
5031.40 1.342273 0.000000 1.342273 0.000000 0.000000
5036.40 1.339834 0.000000 1.339834 0.000000 0.000000
5041.41 1.354539 0.000000 1.354539 0.000000 0.000000
5046.41 1.348740 0.000000 1.348740 0.000000 0.000000
5051.41 1.326949 0.000000 1.326949 0.000000 0.000000
5056.41 1.325649 0.000000 1.325649 0.000000 0.000000
5061.41 1.323643 0.000000 1.323643 0.000000 0.000000
5066.41 1.338055 0.000000 1.338055 0.000000 0.000000
5071.41 1.350575 0.000000 1.350575 0.000000 0.000000
5076.41 1.342661 0.000000 1.342661 0.000000 0.000000
5081.42 1.349459 0.000000 1.349459 0.000000 0.000000
5086.42 1.340167 0.000000 1.340167 0.000000 0.000000
5091.42 1.326215 0.000000 1.326215 0.000000 0.000000
5096.42 1.312286 0.000000 1.312286 0.000000 0.000000
5101.42 1.308642 0.000000 1.308642 0.000000 0.000000
5106.42 1.311217 0.000000 1.311217 0.000000 0.000000
5111.42 1.317823 0.000000 1.317823 0.000000 0.000000
5116.43 1.294932 0.000000 1.294932 0.000000 0.000000
5121.43 1.293017 0.000000 1.293017 0.000000 0.000000
5126.43 1.300647 0.000000 1.300647 0.000000 0.000000
5131.43 1.295674 0.000000 1.295674 0.000000 0.000000
5136.43 1.306668 0.000000 1.306668 0.000000 0.000000
5141.43 1.300409 0.000000 1.300409 0.000000 0.000000
5146.43 1.288763 0.000000 1.288763 0.000000 0.000000
5151.43 1.282434 0.000000 1.282434 0.000000 0.000000
5156.44 1.262084 0.000000 1.262084 0.000000 0.000000
5161.44 1.267730 0.000000 1.267730 0.000000 0.000000
5166.44 1.254933 0.000000 1.254933 0.000000 0.000000
5171.44 1.247265 0.000000 1.247265 0.000000 0.000000
5176.44 1.272949 0.000000 1.272949 0.000000 0.000000
5181.44 1.273403 0.000000 1.273403 0.000000 0.000000
5186.44 1.277985 0.000000 1.277985 0.000000 0.000000
5191.45 1.275364 0.000000 1.275364 0.000000 0.000000
5196.45 1.270808 0.000000 1.270808 0.000000 0.000000
5201.45 1.260023 0.000000 1.260023 0.000000 0.000000
5206.45 1.245605 0.000000 1.245605 0.000000 0.000000
5211.45 1.236579 0.000000 1.236579 0.000000 0.000000
5216.45 1.238882 0.000000 1.238882 0.000000 0.000000
5221.45 1.233766 0.000000 1.233766 0.000000 0.000000
5226.45 1.225950 0.000000 1.225950 0.000000 0.000000
5231.46 1.219941 0.000000 1.219941 0.000000 0.000000
5236.46 1.209762 0.000000 1.209762 0.000000 0.000000
5241.46 1.209798 0.000000 1.209798 0.000000 0.000000
5246.46 1.203462 0.000000 1.203462 0.000000 0.000000
5251.46 1.199255 0.000000 1.199255 0.000000 0.000000
5256.46 1.198817 0.000000 1.198817 0.000000 0.000000
5261.46 1.208803 0.000000 1.208803 0.000000 0.000000
5266.47 1.188644 0.000000 1.188644 0.000000 0.000000
5271.47 1.171976 0.000000 1.171976 0.000000 0.000000
5276.47 1.175715 0.000000 1.175715 0.000000 0.000000
5281.47 1.179131 0.000000 1.179131 0.000000 0.000000
5286.47 1.177259 0.000000 1.177259 0.000000 0.000000
5291.47 1.172399 0.000000 1.172399 0.000000 0.000000
5296.47 1.186159 0.000000 1.186159 0.000000 0.000000
