# lk ukf_m7iii uks_m7iii fh fl fk fm
# iRMS=0.8421489596 0
# 
4911.37 1.045599 0.000000 0.796909 0.000000 0.000000 1.980084
4916.37 0.832149 0.000000 0.886824 0.000000 0.000000 1.323271
4921.37 1.035312 0.000000 0.977118 0.000000 0.000000 1.772553
4926.37 1.378810 0.000000 1.062624 0.000000 0.000000 2.599339
4931.38 1.620623 0.000000 1.184604 0.000000 0.000000 3.119589
4936.38 1.584751 0.000000 1.358708 0.000000 0.000000 2.850212
4941.38 1.138101 0.000000 1.451733 0.000000 0.000000 1.570934
4946.38 0.758103 0.000000 1.333211 0.000000 0.000000 0.680224
4951.38 1.198739 0.000000 1.032458 0.000000 0.000000 2.151257
4956.38 1.226460 0.000000 0.638483 0.000000 0.000000 2.618857
4961.38 0.331731 0.000000 0.319263 0.000000 0.000000 0.561776
4966.39 0.149157 0.000000 0.206494 0.000000 0.000000 0.189651
