# lk ukf_wk2iii uks_wk2iii fh fse fl
# iRMS=4.419448305e-05 0
# 
4491.26 0.767294 0.011675 0.767294 0.000000 0.000000
4496.26 0.782694 0.008282 0.782694 0.000000 0.000000
4501.26 0.817030 0.009806 0.817030 0.000000 0.000000
4506.26 0.846249 0.014297 0.846249 0.000000 0.000000
4511.27 0.837205 0.002273 0.837205 0.000000 0.000000
4516.27 0.825370 0.023175 0.825370 0.000000 0.000000
4521.27 0.803101 0.042856 0.803101 0.000000 0.000000
4526.27 0.765823 0.027853 0.765823 0.000000 0.000000
4531.27 0.761020 0.027696 0.761020 0.000000 0.000000
4536.27 0.771441 0.025180 0.771441 0.000000 0.000000
4541.27 0.783637 0.016733 0.783637 0.000000 0.000000
4546.27 0.791708 0.007126 0.791708 0.000000 0.000000
4551.28 0.799693 0.001849 0.799693 0.000000 0.000000
4556.28 0.812472 0.005160 0.812472 0.000000 0.000000
4561.28 0.826439 0.013348 0.826439 0.000000 0.000000
4566.28 0.833026 0.016685 0.833026 0.000000 0.000000
4571.28 0.835463 0.016071 0.835463 0.000000 0.000000
4576.28 0.835214 0.011610 0.835214 0.000000 0.000000
4581.28 0.833211 0.010727 0.833211 0.000000 0.000000
4586.28 0.828404 0.016491 0.828404 0.000000 0.000000
4591.29 0.821795 0.018073 0.821795 0.000000 0.000000
4596.29 0.822911 0.014272 0.822911 0.000000 0.000000
4601.29 0.836730 0.013888 0.836730 0.000000 0.000000
4606.29 0.859204 0.018093 0.859204 0.000000 0.000000
4611.29 0.879503 0.015990 0.879503 0.000000 0.000000
4616.29 0.885989 0.003395 0.885989 0.000000 0.000000
4621.29 0.883537 0.024256 0.883537 0.000000 0.000000
4626.30 0.895620 0.010011 0.895620 0.000000 0.000000
4631.30 0.894492 0.006599 0.894492 0.000000 0.000000
4636.30 0.879056 0.018071 0.879056 0.000000 0.000000
4641.30 0.867441 0.027249 0.867441 0.000000 0.000000
4646.30 0.868859 0.030553 0.868859 0.000000 0.000000
4651.30 0.874233 0.030584 0.874233 0.000000 0.000000
4656.30 0.872558 0.030570 0.872558 0.000000 0.000000
4661.30 0.866249 0.033325 0.866249 0.000000 0.000000
4666.31 0.855164 0.033040 0.855164 0.000000 0.000000
4671.31 0.850136 0.029838 0.850136 0.000000 0.000000
4676.31 0.861045 0.027034 0.861045 0.000000 0.000000
4681.31 0.876268 0.026972 0.876268 0.000000 0.000000
4686.31 0.882704 0.031565 0.882704 0.000000 0.000000
4691.31 0.881233 0.040025 0.881233 0.000000 0.000000
4696.31 0.873850 0.046507 0.873850 0.000000 0.000000
4701.32 0.866890 0.043656 0.866890 0.000000 0.000000
4706.32 0.868742 0.030072 0.868742 0.000000 0.000000
4711.32 0.878884 0.014904 0.878884 0.000000 0.000000
4716.32 0.892073 0.006278 0.892073 0.000000 0.000000
4721.32 0.904925 0.011385 0.904925 0.000000 0.000000
4726.32 0.905366 0.020833 0.905366 0.000000 0.000000
4731.32 0.902917 0.027251 0.902917 0.000000 0.000000
4736.32 0.909191 0.026523 0.909191 0.000000 0.000000
4741.33 0.914311 0.016032 0.914311 0.000000 0.000000
4746.33 0.915169 0.005805 0.915169 0.000000 0.000000
4751.33 0.913156 0.004114 0.913156 0.000000 0.000000
4756.33 0.906780 0.010289 0.906780 0.000000 0.000000
4761.33 0.898907 0.012952 0.898907 0.000000 0.000000
4766.33 0.896756 0.006659 0.896756 0.000000 0.000000
4771.33 0.905556 0.002957 0.905556 0.000000 0.000000
4776.34 0.922798 0.008643 0.922798 0.000000 0.000000
4781.34 0.925424 0.004238 0.925424 0.000000 0.000000
4786.34 0.918825 0.001055 0.918825 0.000000 0.000000
4791.34 0.918274 0.001092 0.918274 0.000000 0.000000
4796.34 0.927662 0.001644 0.927662 0.000000 0.000000
4801.34 0.940295 0.002238 0.940295 0.000000 0.000000
4806.34 0.948007 0.002255 0.948007 0.000000 0.000000
4811.34 0.944794 0.010567 0.944794 0.000000 0.000000
4816.35 0.947097 0.010499 0.947097 0.000000 0.000000
4821.35 0.944407 0.006086 0.944407 0.000000 0.000000
4826.35 0.927401 0.003453 0.927401 0.000000 0.000000
4831.35 0.920365 0.005846 0.920365 0.000000 0.000000
4836.35 0.925066 0.007248 0.925066 0.000000 0.000000
